SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://gucvod-ott2b.cdn.hinet.net/vod_guc/_definst_/smil:guc/ottliveUpload/video/guc/ch01_20260731154000.mp4/hd-hls-cl-pc.smil/playlist.m3u8
VIDEO TITLE: GUC 2026 Q2 investor conference replay (hinet OTT)
CALL DATE: 07-31-2026
QUARTER: Q2 FY2026
# source label: GUC (Global Unichip) Q2 FY2026 (07-31-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 2130   characters: 21,594

---
[00:00] 各位投資先進 午安
[00:02] 歡迎各位參加創意電子
[35:08] 我們在新創這邊的一些機會
[35:10] 或者是有沒有比較多的一些新的
[35:13] 新創客戶掌握
[35:14] 可以分享
[35:19] 這個
[35:21] 我們以EDA
[35:22] EDA2大家知道嗎
[35:23] Synopsis Cadence 應該知道
[35:25] 我們以那個來說好了
[35:27] 當年的時候百家真名
[35:30] 然後Synopsis Cadence 大
[35:31] 但是不是絕對
[35:33] 這一堆小的D3 House
[35:35] 小的EDA廠商都出來了
[35:38] 可是逐漸的逐漸的以現階段的Synopsis
[35:41] 或Cadence
[35:43] 任何一家EDA的新創公司
[35:47] 其實他不會去想他要
[35:49] Eventually上市
[35:51] 他只是想說他要被買掉
[35:55] 所以
[35:56] 那你問我說現在的Startup
[35:59] Well
[36:01] 一個Startup跟我們合作
[36:03] 可能抵載一年然後再等台積電量
[36:06] 把Waiver做出來 封裝做出來
[36:09] 再就又半年多過了
[36:11] 所以兩三年前的時候
[36:14] 我們的確是
[36:16] 很看好
[36:17] Friosa AI 能看好Revils
[36:20] 我們甚至三四年前也跟臺灣一家廠商
[36:23] 叫New Chips
[36:24] 也有合作
[36:25] 所以Startup 我們絕對是
[36:28] 相中了好幾家
[36:30] 那
[36:33] 這幾年過了以後
[36:36] 我們也逐漸的確認一點
[36:38] 就是做Inference 應該自己活
[36:41] 自己長大 自己上市
[36:43] 可能他的機率還是比較高一點
[36:46] 但是做Training的
[36:48] 大概可能都
[36:50] 不容易
[36:51] 就是等著被買
[36:53] 所以
[36:55] 他們會
[36:56] Silicon Proven 他們的東西
[36:58] 然後就被買掉
[37:01] 所以我只能說
[37:02] 你現在問我的話
[37:04] Startup 我在 我們在愛什麼呢
[37:06] 我們看的大概比較是偏Inference的
[37:09] 公司
[37:10] 然後我們也會去靠去想一些
[37:14] Geopolitical 的原因 以至於說
[37:17] 像歐洲的這種Startup
[37:19] 可能比較不願意被買掉
[37:21] 被美國公司買掉 日本的可能比較不會被
[37:24] 買掉
[37:25] 美國的這種Startup
[37:26] 就我們要小心了
[37:28] 但是
[37:30] 怎麼說呢
[37:32] 如果他被買了 其實那個跟我們合作很久的
[37:36] 那個Team
[37:37] 在新的公司裡面
[37:39] 又是我們最
[37:41] 最
[37:43] 最堅實的
[37:45] 的支持者
[37:46] 對我們來說也未必有壞處
[37:49] 因為Startup 你永遠要擔心什麼
[37:51] 他其實沒有
[37:53] 還沒有客戶
[37:55] 他做出來以後 他可能一顆都賣不掉
[37:59] 但是如果是CSP
[38:00] 他是自用
[38:02] 所以那個量是絕對TK是沒有問題的
[38:06] 所以不見得是壞事
[38:07] 如果一家Startup跟我們做
[38:10] 然後我們也有革命情感了
[38:12] Silicon也都Proven了
[38:14] 他被某一家公司買了
[38:15] 然後那家公司是要自用
[38:18] 那
[38:20] 很好啊 我們NRE再收一次
[38:23] 然後量產是絕對會有成績
[38:28] 只能這樣看
[38:33] 客司的提問 接下來有兩位同事先進
[38:37] 我們再回到這個部幫的Vita
[38:45] 我這邊有幾個問題
[38:46] 也是營運相關的問題
[38:48] 其實陳剛剛在總局到的
[38:51] 然後我們一開始有提到說
[38:53] 我們明年取得產能的狀況
[38:56] 非常的樂觀
[38:57] 然後我們瞭解到可能在Covas這邊
[39:00] 也蠻樂觀的
[39:01] 然後樂觀到看起來像是有一個新的客戶
[39:05] 然後
[39:07] 不知道報紙上寫的Covas那產能是怎麼來的
[39:11] 而且那是兩三個月前就上報了
[39:15] 就我想詢問的是就是公司在
[39:18] 其他職業期這邊也耕耘了蠻久
[39:20] 想問一下耕耘的成果
[39:22] 然後我第一個想要問的是
[39:24] 剛剛提到的我們的
[39:27] 前客人 這是前客人嗎
[39:28] Revils 他後來被併進去了
[39:31] 然後剛剛提到說我們
[39:33] NRE 然後Trenty有機會
[39:36] 想問說就是
[39:38] 這是會在我們明年的展望嗎
[39:47] 在描述一個遊戲規則
[39:51] 我沒有針對
[39:53] Revils的現在的東家怎麼樣
[39:56] 所以那個遊戲規則很簡單
[39:58] 就是
[40:00] 當他被買了以後
[40:02] 事實上他原來是一個
[40:04] independent design house
[40:06] 他做出來的東西他不見得有客戶要用
[40:11] 但是他被買了以後
[40:14] 他的東西就會被他的新東家
[40:17] 自啟用
[40:19] 所以這種成功量產的
[40:22] 就是量產的那個量能
[40:25] 就成功的機率就高很多
[40:27] 所以我是用這個來舉例的
[40:29] 那我們不針對
[40:33] 客戶 尤其是
[40:35] 就是未來的客戶怎麼樣
[40:37] 或是我們真的是不方便做任何分析
[40:43] 我只是藉著Revils來舉例
[40:45] 因為剛剛是在問說
[40:47] 我們除了這些CSP之外
[40:50] 我們面對這些ASIC的
[40:52] Startup
[40:53] 不能說ASIC 應該我說我們面對這些
[40:56] Design house
[40:57] 這些Startup Design house
[40:58] 我們的想法是什麼
[41:01] 我們的想法其實我在補充
[41:03] 就是我們會針對他的應用面
[41:07] Revils給我們的
[41:08] Revils還有Vreosa AI
[41:11] 給我們的
[41:13] 經驗就是
[41:15] 看樣子Inference by itself
[41:19] 可能比較容易活
[41:22] Training
[41:24] 可能比較會被大公司買走
[41:31] 那個那我第二個問題想要問
[41:33] 一樣就是其他 CSP 跟雲的狀況
[41:37] 就講到說我們這個 CTU 客人
[41:40] 他有很多的SKU正在發展
[41:44] 然後剛剛提到說我們從下往上
[41:47] 去做
[41:48] 那
[41:49] 可以理解為是Turkey的意思
[41:51] 而不是IP營收的意思嗎
[41:57] 如果只是針對
[41:59] 很複雜的packaging
[42:01] 的那種我們是NRE
[42:05] 就是
[42:06] 就是設計費
[42:08] 那我們當然在
[42:11] 在談的是從那邊再進展為Turkey Service
[42:18] 接續這個問題
[42:20] 然後
[42:21] 這可能有點關策略的問題
[42:23] 就是想要詢問張董說就是
[42:26] 這個客戶開始就是找公司合作
[42:30] 那這樣子我們就是切入的角度是什麼
[42:32] 像是因為他也有跟就是臺灣的同業
[42:35] 合作了蠻久的
[42:36] 然後那個同業其實看起來也
[42:39] 不是很缺waiver
[42:40] 所以想問我們切入的角度是什麼
[42:43] 對這是第一個
[42:49] 其實我們一定要
[42:51] 因為在
[42:52] 在Azure Vendor裡面
[42:55] 說不多說少也還有好幾位
[42:59] 所以創意電子因為我今天是出的董事長
[43:02] 之外我還建議策略長
[43:04] 就是我希望是能夠
[43:07] 幫創意電子找出他的value
[43:11] 我們不希望都是always在做service only
[43:14] 我們需要有我們的difficultiation
[43:16] 就是一些比較unique
[43:19] 比較
[43:20] 那個niche的一些solution
[43:22] 那這個地方
[43:23] 我在台積電29年來
[43:26] 跟各個RD部門PaaS部門
[43:30] MadeFaction Pee部門合作
[43:32] 就可以很
[43:35] 大大處理
[43:36] 因為我知道方向是什麼
[43:39] 怎麼樣
[43:41] DTCO就PaaS跟DZ可以結合
[43:45] 做出一個對客戶來說更有value的東西
[43:48] 所以這些東西我們都在緊密跟客戶
[43:52] 討論他們需要什麼
[43:53] 然後跟台積看看合作說方向是什麼
[43:57] 那該一步一步怎麼做
[44:00] 這是一個長久的策略
[44:02] 可是我覺得這是非常非常重要的
[44:05] 基本上
[44:06] 基本上這是我一個重點
[44:07] 一個重心
[44:08] 希望以後能夠跟各位投資先進
[44:12] 一一報告
[44:20] 我們請UPS的Jerry
[44:25] 總長總經理跟條長好
[44:27] 那我想先請問一下剛剛在那個
[44:30] 前面簡報的時候大概提到說
[44:32] 有一些pre-payment是要
[44:35] 給這個HBM
[44:36] 就是採購HBM
[44:38] 那我是想請教一下說現在的這個
[44:41] 幾個project或是未來的這些project裡面
[44:43] 你們business model會不會有什麼改變
[44:45] 就是這個HBM
[44:46] 現在是
[44:47] 現在是不進到你們的這個高手custom
[44:51] 但未來
[44:52] 你現在只是代買
[44:53] 但是未來這個business model會有什麼改變
[44:56] 進而不就影響到
[44:58] 你的毛利或者是你的BioNC
[45:00] 我想那個HBM的採購
[45:12] 或者是說各種物料的採購
[45:15] 我們很多都在比較粗竭的階段
[45:19] 那
[45:20] 我們的一些客戶對於我們採購HBM的部分
[45:25] 有一些是
[45:26] 比如說他是在整個產品都是我們設計
[45:29] 或我們整個來做組裝發保的話
[45:32] 那當然我們可能會把它納繞
[45:35] 那到我們整個全部的
[45:38] 這個custom不受裡面
[45:40] 那如果說我們的
[45:42] 在整個產品的自助過程之中
[45:46] 我們很可能只有一個非常非常小的部分的話
[45:50] 那很可能我們會把它直接認為他是一個
[45:52] service fee
[45:54] 並且把那個進而直接收起來
[45:57] 所以說這可能要關乎我們在這一顆產品
[46:02] 上面我們到底做到什麼樣的程度來看
[46:06] 不過我覺得這樣子的情況在
[46:09] 現在這個階段都還在早期的過程之中
[46:13] 我們跟客戶之間互動的過程
[46:17] 也都還在調整之中
[46:19] 所以說
[46:20] 我想我們目前還有討論的空間
[46:25] 我真的那個
[46:28] 進而在金錢來說好不好
[46:31] 首先各位聽到HBM搞高規矩的說
[46:34] 你們是不是還要幫
[46:36] 幫你們的客戶準備那個RBOM
[46:39] Rest of Love
[46:40] 不是
[46:41] 因為事實上我們賣給客戶的時候是
[46:44] Cowars已經包好HBM在裡面
[46:47] 所以我們只是
[46:49] 幫他們提前備料
[46:51] 因為他也要搶Substrate 搶HBM
[46:55] 然後SOC
[46:57] 又要台積電即時出來
[46:59] 全部在一起 同時可以了
[47:02] 所以就推報 推報
[47:05] Package以後
[47:07] 是我們賣給客戶的時候是那一顆
[47:10] 的錢 那也是當初談好的
[47:13] 那HBM如果漲價 當然那一顆也要跟著漲
[47:17] 所以其實並沒有
[47:21] 不要太去考慮說 這個你們先備料
[47:24] 那HBM如果又漲價了你們怎麼辦
[47:27] 其實那個通通是客戶的責任
[47:31] 所以不會有這種風險
[47:33] 謝謝 那接下來一個問題
[47:39] 可能跟這個也是有點相關
[47:41] 就是除了HBM之外 那我們也知道說這個
[47:43] 金援現在從三週跟兩奈的
[47:46] 他的價錢一直在
[47:49] 提升嗎 或是你們價值也在提升
[47:51] 那不照說未來這個公司是要怎麼樣
[47:55] 去manage
[47:56] 的Balloon去 因為過去一段時間其實
[47:59] 臺灣的同業
[48:00] 他們也做了蠻多的
[48:03] 這個這個Found raising
[48:05] 那其實前陣子市場也有傳出來說公司
[48:08] 這邊是不是也需要去做這樣的事情
[48:10] 那我想說就請教董事長或財務長
[48:13] 關於這一點的話 公司怎麼樣去manage
[48:16] 你自己的這個Balloon是一個未來的cash flow
[48:19] 謝謝
[48:24] 但是你如果問到我就
[48:27] OK回答的 非常完整
[48:29] 因為公司的資金基本上
[48:32] 操作上非常的靈活 因為我們目前現有資金
[48:36] 我比說還算充裕喔
[48:39] 那這是第一個
[48:41] 第二個是說
[48:44] 當然往銀行或者是這個刺激金融
[48:48] 就是
[48:49] 銀行來融資的話
[48:52] 這也是一個管道
[48:54] 那當然呢
[48:56] 還有後面 譬如說如果我真的要做
[48:59] 發這個CB啦 或者是這個客觀站
[49:03] 或者是 或者是線證
[49:05] 或者是GDR
[49:06] 這些都是我們討論中可以評估的事情
[49:11] 所以說
[49:12] 不過我們認為在實際上
[49:16] 我覺得銀行的往來應該是我們
[49:20] 比較主要的方向
[49:27] 謝謝
[49:28] 那最後一個問題是想要請教公司這邊
[49:31] 就是關於先進封裝的部分
[49:33] 那我們知道
[49:35] 剛剛大家都在談這個COVAX 那我想要請問的是說
[49:38] 除了COVAX之外 其實現在最近也蠻多的
[49:41] 你說是這個發展 我答應也好
[49:44] 就是有人在講這個
[49:45] 其他的一些技術 那這是誰我們
[49:48] 性質度名嘛 那我不知道說
[49:50] 以GUC現在扮演這個design service的角色
[49:53] 如果我們哪一天的客戶
[49:56] 要求要去用這樣的一個其他的這個
[49:58] 先進封裝技術的話 包括公司在這方面
[50:01] 可不可以寫出或是
[50:03] support這樣的一個
[50:05] 一個technology 謝謝
[50:09] 我想大家
[50:10] 大概一定會問的
[50:12] 其實GUC是以服務客戶為主
[50:17] 當客戶有需求的話 我們一定全力support
[50:20] 所以至於是說
[50:22] 另外一種封裝的技術
[50:25] 在
[50:27] 因為他跟COVAX是非常不一樣的
[50:30] 那他也是一個上下協接
[50:34] 可以切割非常清楚的一個技術
[50:37] 所以我們對support
[50:39] 另外一個提到的是絕對沒有問題
[50:42] 當如果有客戶有實際需求的話
[50:44] 我們就會全力support客戶
[50:46] 我想客戶也非常清楚這一點
[50:48] 我們都溝通得非常清楚
[50:56] 謝謝Jerry的提問 接續有哪位投資先進想要提問
[51:00] 請永樂舉手發言
[51:15] 我們要請Rita來做提問 謝謝
[51:21] 或許準備很多問題
[51:24] 就是想問一下就是之前的法說會要提到
[51:28] 五年的計畫
[51:30] 所以想說可不可以請公司多做說明
[51:34] 但是未來五年你說的patron大概會長什麼樣子
[51:38] 然後每一年你最重要的應用各是哪些
[51:41] 2027、2028
[51:44] 的地論
[51:49] 我不覺得我們有提過五年計畫
[51:52] 還跟各位分享五年我們要各
[51:55] 哪一年成長什麼
[51:57] 絕對沒有
[51:58] 難道我老年失待了嗎
[52:03] 我們大概從去年開始
[52:06] 就是就follow台積電的patron 台積電
[52:11] 會給五年的 forecast
[52:12] 可是這些絕對是我們自己跟我們的董事
[52:17] 分享的
[52:18] 那當然我們在internal
[52:20] 你總不能自己隨便畫五年的數字
[52:24] 的確有分析
[52:26] 那
[52:28] 我只能說我們
[52:30] 我前一兩前幾年做的這五年計畫後來
[52:35] 都follow了還遠超過
[52:37] 那是因為
[52:38] CSP的
[52:39] 就是應該說 AI 的這個浪潮
[52:42] 讓他整個就往上
[52:46] 但是我們也知道
[52:48] 就是
[52:49] 只看 AI
[52:51] 那
[52:52] 這是個party
[52:54] 那我們在party之外我們也要有一些很
[52:57] solid的別的東西
[53:00] 所以各位也知道
[53:02] automotive 發什麼什麼我們這邊花了很多時間
[53:06] 因為我們知道說
[53:08] automotive 進去難進去以後
[53:11] 可以吃的比較久
[53:13] 所以那個是的確是我們的一個重點
[53:18] 那當然我們也有
[53:20] 在跟別家的都有合作
[53:24] 那除了
[53:27] 除了 AI 之外我們當然就是
[53:29] 各位要知道其實 training inference 之外當然 CPU
[53:34] 各位也應該看報紙說
[53:35] intel 的
[53:37] 的 performance 相當好就是因為
[53:40] CPU
[53:41] 就是有有有不錯了
[53:45] 那
[53:46] 可是我們的客戶
[53:49] 會
[53:50] 轉用 ARM-based CPU
[53:52] 所以我們其實在這方面也有
[53:55] 火墮展霍的
[53:57] 所以
[53:59] 我個人是覺得
[54:02] 這個 AI 的浪潮如果
[54:04] 成長已經比較 saturated 的時候
[54:08] 那 maybe 兩三年後
[54:10] 我們在別的地方在 automotive 在 CPU 在這些地方
[54:15] 我們是這幾年 build up 的基礎是不會差的
[54:23] 想問說在這樣子的趨勢下
[54:26] 叫我們毛利率會不會就是這樣往上
[54:29] 因為如果之後車用的比例開始增加之後
[54:32] 毛利率會不會往上
[54:37] 這一個問題
[54:38] depends on 我 TK3 的生意
[54:43] 成長性如何
[54:45] 因為 TK3 當然是毛利比較低
[54:48] 但是反過來說 TK3 的生意
[54:52] 為什麼不吃
[54:54] 所以
[54:56] 你們看到的是總體的我們內部的分析
[54:59] 就是 TK3 之外
[55:01] 其他的成長
[55:02] 我能夠說 TK3 之外其他的
[55:07] 成長的毛利率的成長是我是很看好的
[55:12] 第二個問題想問
[55:16] CTO 的狀況
[55:18] 因為
[55:20] 想詢問公司在這之中單人的角色
[55:23] 就是目前公司公佈的客人
[55:26] 都是一些比較小比較新創的客人
[55:29] 但感覺公司根據你的範圍
[55:31] 不是只有這兩個客人裡頭
[55:33] 可以多跟我們說明
[55:35] CPU 好就是一個
[55:41] 以後下面一定會走到這邊來的 optical
[55:44] 那個不一定是
[55:44] 走到這邊來的 optical
[55:46] 那個 bandwidth 增加一定需要的
[55:49] 看到兩個客戶不是很大
[55:53] 在檯面上
[55:54] 我想大家看到
[55:55] 可是其實是有
[55:57] 是有大客戶的 是有的
[55:59] 就是我們也在
[56:01] 很認真的跟客戶 engage
[56:03] 可能時間還算太早
[56:06] 等到以後比較沒腦
[56:08] 我們再跟各位報告
[56:10] 像這樣的 CPU 這個技術
[56:12] 一定將來是一個 trend
[56:14] 每一個客戶都會用到
[56:16] 這是一定的
[56:17] 所以就像我剛剛說的
[56:18] 機遊戲我們希望是在
[56:21] strategy 上能夠
[56:24] 提早免先
[56:25] 所以 CPU 對我們來說是一個
[56:27] 非常重要的重點
[56:32] 方若要問一下就是我們現在
[56:34] 切入這些新應用
[56:36] 是以 IP 先進去
[56:38] 還是我們都希望可以爭取到 20
[56:43] 都有
[56:44] 因為很早
[56:46] 所以說
[56:47] 越早的話
[56:48] 其實現有的設備越少
[56:50] 可是機會就越好
[56:52] 所以就說在
[56:54] 現在跟我們跟各位
[56:55] gauge 的話我們都會全面來看
[56:58] 誰可以做什麼缺什麼
[57:00] 實際上怎麼樣
[57:01] 就像一個 one team 一樣
[57:02] 大家一起合作
[57:04] 所以我們不如
[57:05] 任何是 IP 也好
[57:07] service 也好
[57:08] 只要是能夠把
[57:11] 極密合作能夠把 project
[57:14] high quality 再準時做完
[57:16] 這是最重要的
[57:22] 下一個問題想要詢問
[57:24] 就是關於
[57:25] 關於其他 C&T 的這些耕耘的發展
[57:28] 因為有發現說
[57:30] 這些 CSP 開了非常多的 SKU
[57:33] 但是有時候開案是一回事
[57:35] 然後量產又是另外一回事
[57:37] 想問公司在耕耘的時候
[57:40] 怎麼確保我們現在做的東西
[57:43] 一定會進到量產
[57:53] OK 這個
[57:55] 故事要從頭說起
[57:57] 就像說一開始
[57:59] 剛剛凱基的有問
[58:01] 就是說
[58:01] Design House
[58:03] 你怎麼看
[58:03] 對不對
[58:04] 你們願意support 是誰
[58:06] 或什麼什麼
[58:07] 所以我剛到 GUC 的時候
[58:09] 我們的 GUC 的 sales 其實都是 process
[58:13] 都是
[58:14] 就是
[58:16] 就是懂製程的
[58:18] 那
[58:19] 坦白說我就覺得說
[58:21] GUC 還需要幫
[58:22] 台積電賣製程嗎
[58:24] 好像不需要吧
[58:26] 其實我們要
[58:27] 我們要向客戶的能力
[58:29] 如何客戶的 target 的
[58:32] 市場
[58:33] 他在那個市場的成功的
[58:36] 機率是多少
[58:38] 所以我做了一個最大的改變
[58:40] 就是我們的 sales 比較
[58:43] 我從 Design House 挖角做
[58:46] Design House 的 sales 其實是在看
[58:49] 這個市場如何
[58:51] 所以我們
[58:52] 我們自己的 Design Resource 有限
[58:54] 那我們 Design Resource 我當然不想花在
[58:58] 我只賺到 NRE 而已
[58:59] 我希望他的 Turnkey 還未來有拿到生意
[59:05] 所以基於這個
[59:07] 原因 我們在選客戶 我們在
[59:11] 甚至說我們在
[59:13] 選同一家公司 可能兩個不同的 project
[59:17] 兩個不同的 Design Team 來找我們的時候
[59:20] 我們當然會比較
[59:23] emphasize
[59:25] 那個我們覺得將來他量產
[59:28] 會有量的
[59:31] 可是我們要了解客戶的應用面
[59:35] 我們不是
[59:37] greedy algorithm
[59:39] first come first serve
[59:41] 我們是要去做一些 planning
[59:44] 所以我們內部其實做了非常多的討論
[59:47] 那
[59:48] 我們 Resource OK 當然是都支持
[59:51] 如果 Resource 不夠
[59:53] 我們當然要對
[59:54] 要挑對公司最有利的 也就是
[59:58] NRE 之外 他對方的量產可能性比較大
[60:02] 不管是這是一家公司 還是這是某個大公司
[60:05] 裡面的某一個design team
[60:15] 我們請統一的 Terry
[60:19] 董事長 董事長 還有調剪長你們好
[60:21] 我剛接去那個 ReTA 問題我想 follow up
[60:24] 就是剛剛 CPO 的問題
[60:26] 因為我們看到公司在computer
[60:28] 就有跟為引展出的那個產品
[60:32] 那我想問就是以後 剛剛董事長講 IP 跟
[60:35] 量產都有可能 那我們也看到
[60:38] 他叫共同封裝 那以後會不會有機會
[60:41] 比如說你們只是
[60:42] 封裝而已 還是比如說可以帶
[60:45] 因為他主晶片也封在旁邊 會不會有機會
[60:47] 可以帶量 帶主晶片的這個一起量產
[60:50] 一起收取這樣的費用 你們案子現在
[60:53] 可能在出擊引戈局的模式是怎麼樣
[60:57] 謝謝
[61:01] 這個 CPO 現在講這些還太早
[61:04] 就是在那個 還在
[61:07] 出創期間
[61:09] 至於怎麼合作 該會到這個量產 什麼時候量產
[61:13] 這還不是那麼明朗
[61:16] 還算很早
[61:22] 要希望走哪一種模式
[61:23] 其實 GOC 我覺得 GOC 的
[61:26] 就是我們公司的
[61:28] strategy 跟長處就是說
[61:31] 我們是非常 flexible
[61:33] 就是我們會跟著客戶的需求
[61:36] 今天客戶A 要求我們可能是做 X Y Z
[61:40] 那客戶B 可能要求我做是 ABC
[61:43] 其實對我們而言 我們都希望我們是跟客戶
[61:46] 是一個 one team
[61:49] 我們是他們的 virtual team partner
[61:52] 所以他希望我們做什麼
[61:54] 我們也同意這樣做是 win win
[61:56] 我們一定要強調 win win
[61:58] 一定是客戶成功 GOC 才會成功
[62:02] 同樣 GOC 成功
[62:04] 才會是客戶長久的 partner
[62:06] 所以
[62:08] 對於 CPO 的客戶
[62:10] 我們的 support 的方向
[62:12] 其實是非常不一樣的
[62:15] 所以現在還是還是比較初期
[62:18] 等到以後更明朗的話 我們再跟各位報告
[62:22] 謝謝董事長
[62:23] 另外一個問題我想問
[62:25] 就是總經理在上次法說有提到就是
[62:29] 不是北美的那家車用客戶 我有去看他的
[62:32] youtube 影片 就是他新發表的那個
[62:35] 影片 因為你之前有提到
[62:37] 那那個看起來他已經發表就是
[62:39] 那我們也看到就是你車用有一些
[62:41] 因為北美那個可能
[62:43] 目前應該只有 NRE
[62:45] 那所以那個中國客戶目前看起來
[62:48] 貢獻的狀況怎麼樣
[62:56] 我還是不能真 不願意針對
[62:59] 個別客戶說他們的
[63:02] revenue 啊 或什麼什麼
[63:04] 但是
[63:05] 說實在的中國就是快
[63:08] 11月 10月黑爆了 結果今年
[63:12] 今年
[63:13] 6月的時候
[63:15] 我在那邊 還有我們董事長兩台車
[63:19] 就有體驗
[63:20] 坐在那車裡面
[63:21] 我那時候跟 我是跟我們的那個 sales head
[63:24] 王副總一起去的嘛
[63:26] 我們搭一台車
[63:28] 然後他們要我做 passenger side
[63:31] 我一直想要王副總坐那邊
[63:34] 因為無人駕駛
[63:36] 但是王副總讓嫌的
[63:38] 就逼我非要坐 passenger side
[63:40] 非常ok 在上海的
[63:43] 一點那天下雨
[63:45] 他在上海的
[63:46] 就是這樣大街小巷 然後有什麼老頭車
[63:51] 電瓶車 這樣繞一繞就
[63:53] 我是覺得他們算是相當成熟
[63:56] 那
[63:58] 中國他們這個廠商的
[64:00] Black stability 也高
[64:02] 他這是所謂做駕合一
[64:05] 所以做艙合一 也就是說
[64:08] 他一顆晶片
[64:10] 又是support那個
[64:12] 所謂A
[64:12] 不能說A打 支援自動駕駛
[64:15] 同時還support車內的
[64:18] inportament
[64:20] 但是他因為合併
[64:21] 所以他說本來
[64:23] 這個兩顆可能要用到64G的D-Ramp
[64:27] 他只用47G就好
[64:29] 所以各位就知道現在D-Ramp貴嘛
[64:31] 對不對
[64:32] 所以我會 我是蠻看好這樣李家公司的
[64:35] 因為他們的
[64:37] 他們這方面是非常非常
[64:39] 比起說Black stability 還不如說他們的speed
[64:43] 做得非常好
[64:45] 所以明年看得到有一些貢獻性
[64:48] 會啊
[64:50] 最後一個問題我想問一下財務長 就是
[64:53] 之前大家比較擔心就是你在圖林中心啟用的時候費用
[64:56] 會比較高一些
[64:57] 但看起來第二劑控制很好
[64:59] 因為你營收大幅增長 但費用沒有什麼增長
[65:02] 那有沒有對未來費用的一些
[65:05] 看法跟質疑 謝謝
[65:10] 我們費用成長應該是很小幅度的成長
[65:13] 因為未來的營收成長將會是一個
[65:17] 比較
[65:18] 明顯的
[65:20] 增幅
[65:21] 所以說 我認為從絕對的數值上
[65:25] 來看基石到的明年
[65:28] 我們的研究費基本上
[65:30] 或者是整個研發費用加上
[65:34] SGNA 基本上還是小幅度的成長這樣
[65:38] 那但是我認為我們在幾個技術相關
[65:42] 即使看起來好像是小幅度的研發成長
[65:45] 但是接下來包括董事長剛剛提到的CPO
[65:50] 以及
[65:51] IVR Integrated Voltage Regulator
[65:54] 甚至UCI 164G
[65:57] 甚至是N2 on N2的這些
[66:01] 先進製程的開發
[66:03] 我們都已經都在Romap上面了
[66:07] 所以說
[66:09] 當然還是會增加 不過增加的部分
[66:12] 應該不會來自圖零的 圖零的部分大概就會
[66:16] 變成一個
[66:17] 穩定 固定的擇舊費用而已
[66:25] Harry的提問 接下來我們請Nomura的Kelvin
[66:29] 管理程度 你們好
[66:31] 我是Nomura的
[66:33] 那個
[66:34] 生頭性的Kelvin
[66:35] 那我這邊有四個問題
[66:37] 請教一下
[66:39] 第一個想問一下就是說
[66:40] 就Follow剛剛先進問的車用的
[66:44] 車用的Business
[66:46] 那剛剛其實財務長也有提到就是說
[66:48] 下半年我們Crypto的營收
[66:51] 可能會被Automotive取代
[66:54] 那我們想問一下就是說
[66:55] 下半年我們Rom
[66:57] 車用的營收會讓我們營收比重
[66:59] 大概什麼樣的水準
[67:01] 那27年
[67:02] 大概會有什麼樣的表現
[67:04] 那以27年的裡面來說的話
[67:06] 您覺得是
[67:07] 中國的比重比較高呢 還是北美的
[67:11] 車用的比重比較高
[67:13] 這是第一個問題
[67:14] 聽到的 可是我不覺得我們財務長有說
[67:29] 那個
[67:30] 虛擬貨幣會被車用取代
[67:33] 我不覺得他有講過 沒有吧
[67:36] 剛剛我確實有說
[67:38] 就是說呢
[67:40] 但我並沒有講說取代的比重有多少
[67:43] 但是呢 我可以描述的應該是說
[67:47] 剩下20%基本上就是
[67:49] 消費型的啦 然後記憶體相關的啦
[67:52] 甚至是剛剛講Crypto
[67:55] Crypto因為上半年還有嘛
[67:57] 那下半年基本上就是
[67:59] 越來越少 甚至趨勢力應這樣子
[68:02] 那但是下半年我們已經知道要起來的
[68:06] 一定有車用嘛 所以說
[68:08] 我為什麼會這樣描述基本上就是
[68:10] 對 沒錯
[68:11] 他們有類似感覺起來 好像我取代他的概念
[68:14] 這樣子
[68:15] 但並不是說這產品是互斥的
[68:17] 可是剛剛好就是說Crypto
[68:19] 就真的變得少 而且很少了
[68:22] 那Otto
[68:23] 慢慢變多 趨勢上確實是這樣沒有錯
[68:27] 對 我可能是因為當然知道全部的數字
[68:31] 所以我聽到我們財務長這樣講 我覺得沒有錯
[68:34] 可是你們聽到可能會認為說 車用就會完全
[68:37] 把當初Cryptocurrency的那個動物補掉
[68:41] 不是喔 不是喔
[68:43] 因為第一Cryptocurrency本來就是這種
[68:46] 就是One Shop 去年出來
[68:49] 然後今年就下來 他本來就是大概兩三年
[68:52] 一個週期 那你問我說下次出現的
[68:55] 你們要不要抓住 還是要啊
[68:58] Why not
[68:59] 那
[69:00] 真的 其實我們在Revenue-wise來看的話
[69:04] 就是還是CSP 還是AI-based的
[69:08] 應用 今年
[69:10] 的爆發程度還是相當大的
[69:13] 然後
[69:15] 中國的比例 中國的
[69:18] Absolute Volume
[69:21] 比去年增加 但是相對於我們的
[69:26] Percentage
[69:28] 是會減少一點
[69:32] 北美的Percentage 增加
[69:36] 然後臺灣的Percentage也增加
[69:41] 當然各位都知道 臺灣在整個AI
[69:43] Lum潮裡面 占到一個非常非常
[69:47] 主控的角色 所以這個就
