SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://www.youtube.com/watch?v=50wwIyq4BsM
VIDEO TITLE: replay (official channel replay)
CALL DATE: 08-13-2026
QUARTER: Q2 FY2026
# source label: Phison Q2 FY2026 (08-13-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 2238   characters: 25,343

---
[00:00] 今天我們有五千二十分的獎勵
[30:19] 我们将得到
[30:21] 几十年
[30:23] 货币
[30:25] 所以,请明白
[30:27] 我们的货币
[30:29] 我们将得到2.87%
[30:31] 半年
[30:33] 但,我们必须
[30:35] 保持货币
[30:37] 我们将得到
[30:39] 更多的货币
[30:41] 不仅是他们的货币
[30:43] 但也为了汇资
[30:47] 所以,再次
[30:49] 我们的货币
[30:51] 我们将得到
[30:53] Fyzen,我们的货币
[30:55] 我们将得到
[30:57] 但是,Fyzen的货币
[30:59] 是一个不同的
[31:01] 比较大的货币
[31:03] 货币,货币
[31:05] Fyzen的货币
[31:07] 我们的货币
[31:09] 我们将得到
[31:11] R&D的货币
[31:13] 但,我们必须
[31:15] 保持货币
[31:17] 我们将得到
[31:19] 这些货币
[31:21] 我们将得到
[31:23] Apo & NVIDIA
[31:25] 他们是货币
[31:27] 他们是货币
[31:29] 他们是货币
[31:31] 他们是货币
[31:33] 他们是货币
[31:35] 我们将得到
[31:37] 我刚才说了两个月前
[31:39] 他们说,不不不,你货币是不同的
[31:41] 你货币是Module House,NVIDIA货币是Module House
[31:43] 但他们是货币
[31:45] 他们说,货币的货币
[31:47] 他们说,不不不
[31:49] 货币
[31:51] 只有一个小货币
[31:53] 货币是一个小货币
[31:55] 你看,NCNVIDIA
[31:57] 他们的货币是全是他们的
[31:59] 如果您在上周的报告
[32:01] NVIDIA新货币
[32:03] Memory货币
[32:05] Bomb Cost 62%
[32:07] 所以,货币是不同的
[32:09] 我刚才想告诉您
[32:11] 我们是非常货币
[32:13] 我们的货币
[32:15] 我们的货币
[32:17] 但好事是
[32:19] 我们的货币
[32:21] 我们的货币
[32:23] 我们是可以
[32:25] 取得货币
[32:27] 取得货币
[32:29] 取得货币的货币
[32:31] 请您
[32:33] 学习更多
[32:35] 请您明白
[32:37] 我们的工作
[32:39] 联系和货币
[32:43] 所以,Fyzen
[32:45] 从所有货币100%的货币
[32:47] 进入货币
[32:49] 我们进入货币
[32:51] 我们现在
[32:53] 将自己的货币
[32:55] 转到Fyzen AI Data Platform
[32:57] 我希望
[32:59] 可以给您更多的
[33:01] 更多的货币
[33:03] 再次,我们要用
[33:06] 这个
[33:08] 评论
[33:10] OK
[33:12] 我们的技能
[33:14] 很简单
[33:16] 您可以看到
[33:18] 我们的货币
[33:20] 我们的货币
[33:22] 我们的货币
[33:24] 我们现在进入
[33:26] 我们的货币
[33:28] 我们的货币
[33:30] 我们的货币
[34:04] 这是我们的货币
[34:06] 我们的货币
[34:08] 我们就是4 matters
[34:28] 我们用的货币
[34:30] 我们将使用货币
[34:32] 弄BY BPET
[34:34] 我们会从同一种确定考核成节
[34:37] 然后又回到ESG
[34:39] 我们继续要做我们最佳的调查
[34:43] 我们继续要出做
[34:45] 谢谢
[34:47] 向Q&A
[34:51] 谢谢KS
[34:53] 我们的节目发展
[34:54] 以及Congratulations to TheStream
[34:57] 我们现在是从桌子上到Q&A
[34:59] 如果您有任何问题
[35:01] 请尽量用交换
[35:03] 您可以把问题攻打入戏
[35:05] question for you when we are waiting for questions
[35:09] I will start with some questions from me.
[35:12] My first question is about the net demand
[35:15] asupply dynamic.
[35:17] As you just mentioned,
[35:19] net supply remains quite tight
[35:21] and you are actively adding supply resources
[35:24] asupply sources.
[35:26] Can you give us some update
[35:28] on your current supply condition?
[35:31] For example,how many suppliers
[35:33] do you now have LTAs
[35:36] and how it compared to what you see in the last quarter
[35:40] and what can we expect for the incremental beta location
[35:45] for maybe second half this year or 207
[35:49] OK thanks,Israel.
[35:51] To be honest,at the last
[35:54] nine months,I spent too much my time
[35:57] by interview,by TV,by everywhere.
[36:00] Keep talking about supply demand,supply demand.
[36:02] OK,so I want to go deep,go details today.
[36:05] supply demand no solution
[36:08] for many many years,OK.
[36:10] Back to FISON,we still able to get supply
[36:15] but unfortunately supply not enough to what we need.
[36:18] So last week was the FMS in SNL say we meet every supplier there.
[36:23] They recognize FISON's value.
[36:26] I'm telling them FISON is not going to take their place
[36:28] made the modules and sell the modules.
[36:31] We are now converting ourselves
[36:35] to the NAND users.
[36:37] Just now I mentioned we are having our business
[36:41] in the so called AI data platform
[36:44] and this is a number we show to them.
[36:47] They are really surprised what we are doing.
[36:49] I'm telling them the NAND what we purchase
[36:52] is not only for selling to others
[36:54] but we build to the systems.
[36:55] This can bring more values.
[36:57] So we can't disclose what kind of LTA
[37:01] how many supply because if I say something here
[37:04] my competitors may go there to ask the same amount.
[37:06] So I am not going to do that.
[37:08] But just a commitment here.
[37:10] We have enough.
[37:14] We have supply but supply
[37:17] still not enough what we need.
[37:20] OK.
[37:24] Thank you very much.
[37:26] And my second question is about the NAND price
[37:30] in the second half.
[37:32] How do you see the price trend in the second half
[37:35] compared to the first half?
[37:37] I remember our peer send disk
[37:40] they said in their earnings code that price increases
[37:43] will moderate.
[37:44] That is much what you see what you are seeing now
[37:48] and how should we think about the gross margin
[37:51] in second half and onward.
[37:53] I remember by March I already saying that
[37:58] the memory company the gross margin
[38:01] bottom line 80% easier.
[38:04] Easier.
[38:05] 85% may happen.
[38:07] Now I am telling you if 2026
[38:12] 90% gross margin may happen.
[38:16] But I don't think this is healthy to the industry
[38:20] and my sense of device don't do that.
[38:23] If you ask component for 90% gross margin
[38:26] industrial potentially will be killed.
[38:28] You can see the IoT.
[38:30] You can see the consumer die.
[38:32] So I don't want to comment what price is going
[38:36] supply, try, demand too strong.
[38:39] Price definitely will still going up.
[38:42] But 85% more than enough.
[38:46] OK.
[38:49] Thank you.
[38:50] I already see some investors online.
[38:54] Maybe next question is from Charlie Chen
[38:57] or against Denly.
[38:59] Charlie, good to see you again.
[39:02] Yes, I meet myself, hi, KS and Astoria.
[39:08] First of all, I want to come for very strong results.
[39:15] Let me probably just get straight to the point.
[39:20] Your AI related business is 38% brand new.
[39:26] I know where ESSD is kind of the maker of most of that
[39:32] business and how big can that ESSD brand exposure
[39:39] into next year.
[39:41] This 38% main drive is around 30 plus.
[39:47] OK.
[39:48] Because this is more in the new generator.
[39:52] Put Drive, we win a lot of program and share.
[39:55] Put Drive play the big role, no matter in the AI system
[39:58] or networking.
[40:00] OK.
[40:01] Again adaptive, the data solution is still small.
[40:03] As I mentioned, this is totally new.
[40:05] We need to spend a lot of time.
[40:07] But now we convert this to the AI data platform.
[40:09] Hopefully, hopefully from CQ4, CQ1, CQ2,
[40:13] we can see the significant number in the demo.
[40:19] OK.
[40:20] Yeah, so it gets a two-fold question.
[40:23] So it seems like this ESSD business can you
[40:28] can see meaningful growth.
[40:30] I do have a kind of rough, roughly market share.
[40:34] I'm not sure what was helping us attend,
[40:37] but do have a kind of rough market share
[40:40] for your ESSD business.
[40:43] Another follow-up question is actually to
[40:47] Soria's question about the main price trend.
[40:50] I just want to get a sense whether the consumer
[40:53] NAND and the AI NAND price has some correlation.
[40:58] I ask this because I agree.
[41:01] I have to admit that the price is no longer the
[41:05] consumer rated player.
[41:09] But my concern is that if a consumer NAND
[41:14] multiprice shows some weakness,
[41:18] whether it would also impact your current
[41:21] ASR rich price.
[41:24] That's my two follow-up questions.
[41:26] Thank you.
[41:27] Faison,we are not the NAND manufacturer.
[41:29] We are not aiming to the enterprise
[41:31] SSD market share because we are not NAND supply.
[41:35] And by the way, the NAND is shortage, right?
[41:38] We take our limited supply.
[41:41] I mean, limited is quite a lot.
[41:43] Many go to the customized.
[41:46] Even go to the main drive.
[41:48] Most of the is a customized product.
[41:50] That's why we can enjoy the much better
[41:52] Gross margin.
[41:54] I read a report.
[41:56] It's a paid report.
[41:58] US report.
[42:00] Faison is not 1.9%.
[42:02] This is what I read.
[42:03] 1.9% of the enterprise SSD.
[42:05] This is what I can share with you.
[42:07] So you can go check the report.
[42:09] Back to the so-called consumerNAND
[42:12] or I'm like to more easier
[42:16] Dunk grade NAND and the good NAND.
[42:20] Nunk grade NAND,the price also increase a lot
[42:23] and the supply declining a lot.
[42:25] Why?
[42:27] Back to the history.
[42:28] When the 2D NAND,every 18 to 24 months,
[42:32] there's a new NAND generation.
[42:36] The NAND generation is not mature yet.
[42:39] NAND plus 1 coming.
[42:40] Every period,there's a lot of
[42:42] Dunk grade.
[42:43] But now 3D NAND,the longevity getting
[42:46] much longer.
[42:47] You can't believe the NAND produced by the
[42:50] 6 NAND vendors.
[42:51] The year can be 90 plus percent.
[42:54] Or my people report to me they have some
[42:57] wafer with 95% of a good year.
[43:01] Means what?Means the
[43:03] Dunk grade part declining a lot.
[43:06] So I don't think this consumer,you name
[43:09] ConsumerNAND,Dunk grade NAND will impact to the
[43:11] AI NAND.
[43:12] Who is going to buy consumer
[43:14] Dunk grade to the AI system.
[43:17] And again,you keep saying that
[43:20] the market price,sport market dropping.
[43:22] Go back to check YouTube,which I
[43:25] ready take by March.
[43:28] The time I already hint.
[43:31] After June,Sanjun module house
[43:35] is going to dump their wafer.
[43:38] Because their business 90 plus percent
[43:41] are in the consumers,consumerNAND.
[43:43] They need revenue.If they
[43:46] public,they need revenue.So they buy
[43:48] wafer,they sell wafer.
[43:50] And this happening.And I
[43:52] like to share with you.In the
[43:54] June,July,5th,we spent our cash
[43:59] more than $450 million to buy the
[44:04] NAND wafer from Sanjun module house.
[44:07] Of course the price is much cheaper than
[44:10] the name country price.If not,why
[44:12] I'm buying that,right?Why they sell?
[44:15] Because Faisen has a solution.I
[44:18] buy.I don't know how.So
[44:20] don't take this for price is a
[44:22] decreate price because NAND guy is
[44:24] not going to decline their price.
[44:28] Okay.Understood.Thank you.
[44:31] Next question is from chat box,Bruce.
[44:42] The investor wants to know,longsays
[44:45] recently coexapts a general
[44:48] DRAM offloadsolution for each
[44:50] devices with UNISOC.And it's
[44:53] also collaborating with AMD on
[44:56] HLC plus SPU.How about Faisen?
[45:00] This is the first question from Bruce.
[45:02] Okay.In the March 20 something,
[45:05] they have a so called China FMS.
[45:07] The chairman longsays was my
[45:10] previous speaker and the next.
[45:12] I surprise,he said he got this
[45:14] something something.When I
[45:15] all said,hey,don't copy.You
[45:19] are a big company.You
[45:21] are an innovative company.Why
[45:22] you just copy?Come to talk.So
[45:24] this is my comment.I
[45:26] don't care.Anyone want to
[45:28] copy?We have our weapon.We
[45:30] have our solution.But wait.See
[45:33] how Faisen react.I
[45:34] don't care.But we win
[45:36] everything because we are
[45:38] innovators.We are the
[45:40] inventors.The world
[45:41] know.We start promoting this
[45:43] since three years ago.So
[45:45] no hurry.We wait and see.At
[45:48] least in the world,many
[45:50] countries still respect to
[45:52] intelligent property.Okay.Thank
[46:00] you,KS.Next question from
[46:03] Bruce.I think has a follow-up.He
[46:06] said Apple is,Apple built its
[46:08] own SSD offloads specifically to
[46:11] intelligent.But most
[46:13] laptop OEMs clearly don't
[46:15] have that kind of capability.So
[46:18] AMD choose to partner with
[46:21] longsys.While Faisen
[46:23] choose partner with Intel and
[46:25] MediaTek.That's right.How
[46:27] about going this way?I think
[46:29] the audience can read.Okay.We
[46:30] don't need to spend time here.Okay.First
[46:32] about,Apple is Apple.It's all
[46:34] perpetuary.So no comment.You
[46:36] name AMD choose longsys
[46:39] Wrong.This only happen in
[46:42] some share.AMD China longsys.You
[46:44] go to ask AMD Austin what
[46:46] happened today.I don't want to
[46:47] come in here.Faisenchoose
[46:49] partner Intel MTK.Okay.No
[46:51] worry.No rush.A lot of
[46:53] MediaTek.You wait and
[46:55] see.Okay.I just saying
[46:57] that don't copy.Be a man.Okay.Then
[47:02] we go to the next.Not
[47:06] yes.That's question is
[47:07] from Simon.Baker
[47:09] from America.Okay.Hey, Simon.
[47:11] Hello.Hi.Yes.Yes.Yes.Great.Congrats.Great
[47:18] result.Great number.We
[47:23] work so hard.I keep
[47:25] too much.When I
[47:26] talking,nobody listen.What
[47:28] can I do?Thank you.Just
[47:31] a joke.Just a joke.Yeah.So
[47:34] maybe number one,how long
[47:37] you think the NAND price
[47:39] still rising,right?So
[47:42] when you will start
[47:43] imagine that you
[47:44] beto call to your
[47:45] Korean friend.You
[47:47] ask me call to your
[47:49] Korean friend.Okay.I
[47:51] wish 85% gross margin
[47:53] is really good.Don't
[47:54] ask to 90%.So you
[47:57] think it is a time to
[47:58] see more stable NAND
[48:01] and the price distance.No,no
[48:03] stable.What I like to
[48:04] mention is a
[48:05] saturate.Still
[48:07] racing,but the ratio
[48:09] getting smaller and
[48:10] eventually
[48:11] saturate.Saturate
[48:15] means.Means
[48:16] that here there's
[48:17] some certain point
[48:18] gross margin there.Supplier
[48:20] is happy.Then
[48:22] they start to pick up who
[48:24] they are going to
[48:25] shape.Sorry.So
[48:31] NAND price still some
[48:33] room to see the
[48:34] NAND price increase
[48:35] for second of this
[48:36] year,but how about
[48:38] the next year's
[48:39] term?Stable,right?
[48:42] No.Hey,let
[48:43] me ask you,if
[48:44] the next year nobody
[48:46] doing things right,the
[48:48] gross margin of a
[48:49] member company go to
[48:50] 95% do you
[48:52] believe this is
[48:54] going to happen or
[48:55] not?It's theoretically
[48:57] possible,but I
[48:59] think that like a
[49:01] Pyran foundry
[49:02] shortest there,but they
[49:04] are not raising the
[49:05] price aggressively anymore.
[49:07] Memory is
[49:09] different.I
[49:11] seem.Okay.So
[49:13] you are feeling that
[49:15] shortest of NAND will
[49:17] continue into next year.Many
[49:19] year.Many
[49:20] year.But
[49:22] you don't see quite
[49:24] significant NAND big
[49:26] gross per wafer with
[49:28] 2300 layers.No.
[49:31] No.You go to
[49:32] ask a manifesto.Okay.I
[49:35] met the one NAND
[49:37] the top level guy I
[49:38] say hey from
[49:39] investment to
[49:40] produce to production
[49:41] 2 years.He said no.It's
[49:43] 4 years.4 years.Yeah.
[49:46] no easier.I
[49:47] realized.No easy.Okay.And
[49:51] then the justin
[49:52] case I'm double checking
[49:53] so you are
[49:55] inventory value 90
[49:57] billion dollars.It's a
[49:59] lot.It's just
[50:03] a market price.Just
[50:05] a book value.We
[50:07] never
[50:08] revalue.Okay.We
[50:10] find some policy never
[50:11] revalue.We
[50:12] only write down.Yeah.Only
[50:15] Okay.Following the
[50:16] gap.That's
[50:17] great.And
[50:18] then would you recap
[50:20] your recent
[50:22] combatable
[50:23] bundles of issues because
[50:24] your competitors
[50:25] should
[50:26] see the last NAND.Why?Why?
[50:29] Looks like there.The
[50:31] census indicates that the
[50:34] maybe your competitors
[50:35] need extra cash
[50:37] to buy more NAND chip
[50:38] for the enterprise
[50:39] solutions.No.They
[50:40] are the
[50:41] neverty capital
[50:42] inclusive.They are
[50:43] the control company.Why
[50:44] but they
[50:45] my name?Because
[50:46] enterprise
[50:47] solution needs the
[50:48] NAND chips.No.It's
[50:50] a module
[50:51] reasons.Enterprise
[50:52] solution.Yeah.Charlie
[50:53] is here.Then Charlie
[50:54] can ask hey they
[50:55] buy a lot of names.How
[50:56] about Gross margin.Right.Gross
[50:58] margin usually the
[51:00] controller should be
[51:02] higher because
[51:03] only the
[51:04] fellows in this model.How
[51:05] about
[51:06] much.Theoretically
[51:07] should be lower.But
[51:08] it is growing
[51:09] very strongly.No.But
[51:11] anyway,I think
[51:13] my question is
[51:15] would you recap
[51:17] your previous
[51:18] funding?It was
[51:20] ECB,$500 million
[51:22] well-executed.Four
[51:23] years.Already
[51:24] used.Already
[51:25] used.No.Arate
[51:26] to
[51:27] theoretically.No.Arate
[51:28] to.I think
[51:29] it's
[51:30] a
[51:31] already
[51:33] turn one and half times.Already
[51:34] turn one and half times.So
[51:38] it was a
[51:39] 500 million
[51:40] USD equivalent.So
[51:41] would you
[51:42] reason.800 million
[51:43] ECB.How
[51:45] much.800
[51:47] 800.800.Yes.Python
[51:52] raised the
[51:53] 800 million.ECB.EcB.
[51:55] 800 million dollars.Yes.So
[51:58] that implied
[52:00] what percentage of the
[52:02] USD equivalent.Yes.So
[52:07] In the
[52:31] 你利用了800多美元的帳戶
[52:36] 從ECD上購買的
[52:37] 你已經買了很多NAND的帳戶
[52:39] 是的
[52:40] 這就是你的利益很高
[52:44] 給我
[52:45] 太低了
[52:46] 根據我的資料
[52:50] 所以在他們的情況下
[52:52] 你相信
[52:53] 在第二季的
[52:56] 利益已經
[52:58] 強烈的上升
[53:00] 不不不不
[53:02] 我必須經營一年
[53:04] 在客人家的工程中
[53:06] 不必買一年
[53:08] 下年的產品
[53:10] 會變得更加難
[53:14] 你意思是
[53:16] 結業的產品會變得更高
[53:18] 對
[53:20] 產品的產品會變得更高
[53:22] 對
[53:24] 對
[53:26] 沒有問題
[53:28] Saman你必須對我來說
[53:30] 我非常有信心
[53:32] 因為我最近一直在說
[53:34] 沒有人聽到我
[53:36] 現在不太好
[53:40] Saman我們需要花時間跟別人
[53:42] 好
[53:44] 謝謝
[53:46] 謝謝
[53:48] 下一個問題是
[53:50] 從 chat box
[53:52] 從 chain from digital times
[53:54] 這個問題是在中國
[53:56] 我會
[53:58] 沒有問題
[54:00] 他想知道
[54:02] SFIPC
[54:04] 商業保衛中心
[54:06] 請問KS
[54:08] 有關保衛中心的進度
[54:10] 是否能跟大家更新一下
[54:12] 謝謝
[54:14] 是這樣子的
[54:16] 我尊重保衛中心的訴求
[54:18] 如果他有任何的證明
[54:20] 我們過去經營的方式
[54:22] 讓股東當下股東
[54:24] 我付提權責我賠償
[54:26] 但是如果沒有辦法證明
[54:28] 拿出職務需要一起這樣拖
[54:30] 這個對整個社會
[54:32] 對司法的支援
[54:34] 甚至對現在的股東
[54:36] 是不公平的
[54:38] 我誠懇的希望
[54:40] 大家回歸事實
[54:42] 如果有證據
[54:44] 我們就把它給做一個賠償
[54:46] 而不是在那邊拖拖拉拉
[54:48] 那在過去
[54:50] 我被告知因為有這個關心
[54:52] MXCI一直有障礙
[54:54] 也很欣慰
[54:56] 之前有媒體願意
[54:58] 把這個東西寫出來
[55:00] 我們也順利進入MXCI
[55:02] 裡面
[55:04] 我要呼籲是
[55:06] 投資保護人中心
[55:08] 你要保護的是
[55:10] 每一個時間點的保護人
[55:12] 不是只有那個時間點的保護人
[55:14] 用那時間保護人來拖累
[55:16] 現在的保護人的投資
[55:18] 其實我覺得是不正確的
[55:20] 謝謝
[55:24] 我會
[55:26] 我會
[55:28] 我們沒有時間
[55:30] 沒有時間
[55:32] 對
[55:34] 大家可以打電話給我
[55:36] 我可以跟你們說
[55:38] 還是很多問題
[55:40] 我們還在開玩笑
[55:42] 我們還在開玩笑
[55:44] 我們會
[55:46] 打電話給你們
[55:48] 我們可以再接受
[55:50] 謝謝
[55:52] 謝謝
[55:54] 我沒有想到
[55:56] 我只是告訴你
[55:58] 很多年前我都說
[56:00] 沒有希望
[56:02] 我相信
[56:04] 我們在MXCI
[56:06] 我們在MXCI
[56:08] 我們在MXCI
[56:10] 我們在MXCI
[56:12] 我們在MXCI
[56:14] 我們在MXCI
[56:16] 我們在MXCI
[56:19] 下一任
[56:20] 定期廠商應該
[56:22] SEA影響奇蹟貓展� MSI
[56:24] 我們有我們的
[56:26] 我們LTSA
[56:28] 特別意觀察
[56:30] 貓粒粒是好
[56:32] 會下來
[56:34] 這相當不準
[56:36] 都買
[56:38] 貓粒粒不可能一直等比利
[56:40] 所以貓粒本來就應該要下
[56:42] 只是是怎麼下
[56:44] 有模組公司基 nu下肆幾%
[56:46] 那後面我覺得我沒辦法跟你依告
[56:49] 但是我至少做一個工作
[56:51] 就是我們一直投資我們的研發
[56:53] 希望大家都買一樣的NAND價格
[56:56] 人家加3%賣掉
[56:58] 我可以加30 50%做成不同的產品
[57:00] 這就是ROE投資的價值
[57:02] ok 那這點呢
[57:04] 我沒辦法跟你證明什麼
[57:06] 那你就等時間我講說
[57:08] 等等看WetWetC
[57:10] 如果你不相信
[57:11] 去看過去10年來
[57:13] 我們跟所有的模組公司的毛利差別
[57:16] 你大概就可以理解了
[57:18] 下一題
[57:18] Claim to be using SLC
[57:20] Till Hybrid Prology
[57:21] ok 這個是那個叫Stories Next
[57:24] 我們也在裡面
[57:24] 所以時間關係不堪益
[57:26] 我們也在裡面
[57:29] 在Boris English
[57:31] sorry
[57:33] Strong result
[57:34] Superior product
[57:34] Superior margin
[57:36] Difficult to tell much
[57:37] Come from your value
[57:38] Add and how much are you using
[57:40] ok
[57:40] Again back to the so-called low cost inventory
[57:42] again
[57:44] I'm not able to describe what is that
[57:46] I agree definitely
[57:48] We have a low cost inventory no doubt
[57:50] but you can see
[57:51] If left hand I have a low cost inventory
[57:54] Good profit
[57:55] Right hand
[57:56] I spend this to R&D
[57:58] I move this to R&D
[58:00] ok
[58:00] So this R&D is going to generate
[58:02] The future momentum for our business
[58:05] and again
[58:07] What 5 cents to do
[58:08] If price keep going up
[58:10] The gross margin definitely cannot be a linear
[58:13] but we need to have a new product
[58:15] So I keep saying that
[58:16] We are moving to so-called AI data platform
[58:19] This next quarter
[58:21] I'm going to tell you more
[58:22] ok
[58:23] This will be our next growth
[58:25] And we have to do that
[58:26] If not
[58:28] The things will follow what you said
[58:29] ok
[58:30] Gross margin
[58:31] I fully agree
[58:33] Yeah
[58:36] So what's the next
[58:40] I think Charlie can also have questions
[58:44] ok
[58:44] He's hands
[58:45] Yes
[58:49] No, actually my questions were answered
[58:53] And yeah
[58:55] Yeah
[58:55] Good for me now
[58:57] Thank you
[58:57] Thank Charlie
[58:57] I think again
[58:59] 5 cents keep telling the market
[59:01] One very consistent message
[59:05] I know price going up
[59:07] Eventually gross margin rate will drop
[59:10] This is simple mathematics
[59:11] I know
[59:12] Only thing to move the gross margin
[59:16] Is new invention
[59:18] New product
[59:19] This is what we are doing
[59:20] So
[59:21] Ambillia many years ago
[59:23] From the small GPU
[59:24] To gaming car maker like Asus
[59:27] 10 years ago
[59:27] They sell the car to the mining
[59:29] Now they sell the full rack
[59:31] Ok
[59:32] And that mark up their gross margin
[59:34] We name this is a total systems
[59:37] Python from controllers many years ago
[59:38] Margeos
[59:39] Now we move to AI data platform
[59:42] As a systems
[59:44] So good luck to Python
[59:46] Hopefully I can show you
[59:48] Our big transmission
[59:49] With thing 12 to 24 months
[59:54] So yeah
[59:57] Definitely good luck for that
[59:59] But I also
[60:01] Counsel me on this question
[60:03] Because
[60:05] I think
[60:06] I told you an estate question
[60:08] About same days
[60:09] And you also
[60:11] Sort of agreed that gross margin
[60:13] Would be better to
[60:15] Normalize a little bit
[60:17] Marry is taking
[60:18] Too big cake
[60:20] From the air
[60:20] Care pad
[60:21] So what we are going
[60:23] We are thinking
[60:24] Going to happen
[60:26] In the coming 12 to quarter
[60:27] Do you think
[60:29] Does the CSPs
[60:30] Or for example
[60:31] Ambillia Google
[60:33] AMD will try to
[60:35] Distract
[60:37] The memory
[60:38] Or they will try to
[60:40] Praise the price
[60:42] They have to
[60:44] No Charlie sorry
[60:44] They have to
[60:46] Definitely
[60:47] And this happened
[60:48] I'm saying that
[60:49] Since the end of last year
[60:51] Right
[60:52] Now we can see
[60:53] A lot of systems
[60:54] They cut half of the
[60:55] Dremit
[60:57] But let me ask this way
[60:59] Do they cut storage
[61:04] They cut the
[61:05] Yes
[61:05] Do they cut storage
[61:09] No
[61:09] Right
[61:10] Storage is income
[61:12] Agree
[61:13] Inference
[61:14] Inference 2 part
[61:15] Power storage
[61:18] DRAM is here
[61:20] DRAM is here
[61:21] You can use
[61:21] Aggroism
[61:22] Or you can
[61:23] Just
[61:25] Secretified the performance
[61:26] But storage
[61:27] Is money
[61:30] Ok so adaptive
[61:31] What's the difference
[61:32] Adup it
[61:33] Adaptive
[61:33] Using flash
[61:34] Fresh
[61:35] To complement DRAM
[61:36] My only concern is that
[61:42] During this
[61:43] Sever
[61:43] Normalization
[61:45] Or kind of negotiation
[61:48] Yeah then
[61:49] There could be some
[61:49] Sense of impact to
[61:52] Memory
[61:54] Stop
[61:55] So I agree with you
[61:57] That your fundamental
[61:57] We must be very strong
[61:58] Just the
[62:01] Capture markets
[62:01] I essentially for a moment
[62:03] And masters
[62:05] They are looking at
[62:07] Those are kind of
[62:08] Person negotiations
[62:09] Very closely
[62:10] So I guess that's why
[62:11] That's why people
[62:13] Recare about your view
[62:15] Yeah
[62:16] Yeah
[62:18] Ok so I think we're
[62:19] One of time
[62:20] But still I think
[62:21] Since the
[62:22] Still 170
[62:23] Audio is there
[62:24] Simon
[62:25] You have something to ask
[62:25] Simon
[62:30] Hello Simon
[62:32] Yes sir
[62:32] Yeah
[62:34] Just a very
[62:34] Very quick question
[62:36] Second quarter results
[62:37] Very good
[62:38] 65% revenue
[62:40] Is more price
[62:42] Increase the driver
[62:43] Rather than any
[62:44] Meaning for volume
[62:45] Increase QoQ
[62:46] By SAPI we grow
[62:48] SAPI we grow
[62:49] And of course price we grow
[62:51] Yeah
[62:53] Yeah so
[62:54] Another question
[62:54] Is your volume growth
[62:56] In terms of the
[62:57] Beat
[62:58] How it can be meaningful
[62:59] Because then to make us
[63:00] Saying 20%
[63:02] Beat growth
[63:02] Or a little bit lower
[63:04] How about you are
[63:04] Over the product
[63:06] Volume growth
[63:07] No product volume
[63:08] Actually declining
[63:10] Decline
[63:11] Marchus declining
[63:12] No no depends on
[63:13] Consumer decline
[63:14] Almost to nothing
[63:15] Ok you have to
[63:15] Requerified
[63:16] No misunderstanding
[63:17] Ok enterprise
[63:18] Marchus increase
[63:19] Because we have
[63:20] Nothing last year
[63:22] Controllers will increase
[63:24] Yes sir
[63:25] All combined
[63:25] Together your
[63:27] Big growth
[63:28] Combined to me
[63:29] Controller unit increase
[63:31] SAPI increase
[63:32] Yeah
[63:35] So maybe
[63:36] Thought quarter
[63:38] September quarter
[63:38] September quarter
[63:39] Beatability
[63:40] I mean the
[63:41] Gross momentum
[63:42] Stir based on
[63:42] Your blended ASP upside
[63:45] The man is there strong
[63:47] But again
[63:48] I think I need to
[63:49] Keep repeat
[63:49] I have to
[63:50] Manage my inventory
[63:52] Why
[63:53] If I design in
[63:53] One program
[63:54] For 24 months
[63:55] I have to
[63:56] Make sure I can supply
[63:57] I can't sell
[63:57] Components tomorrow
[63:58] If I sell
[63:59] I'm not able to buy
[64:00] Next year
[64:01] I die
[64:02] Because the CSP will
[64:03] Kill me
[64:04] Ok ok
[64:06] So the one last question
[64:07] From some investors
[64:09] They are asking this
[64:11] ECB issuance already done
[64:14] But you are saying
[64:16] Inventory still not enough
[64:17] That means
[64:19] Oditional funding needed
[64:21] Or you have enough cash
[64:23] To build up
[64:25] Or for the inventory
[64:26] Thank you
[64:27] Ok
[64:28] By end of March
[64:28] Fighting has a big
[64:30] Big debt from bank
[64:31] By July
[64:33] We pay back almost everything
[64:35] Now we have no debt
[64:36] Ok
[64:37] No debt
[64:37] Very healthy
[64:38] So means what
[64:39] Me coming six months
[64:41] If I need to
[64:42] Get cash
[64:43] I can use bank
[64:45] But if business
[64:47] Keep going strong
[64:48] Second half next year
[64:49] Yes I need to raise fund
[64:53] Ok
[64:55] All clear sir
[64:56] Thank you
[64:57] I appreciate your
[64:58] You know very of the time today
[65:00] And then congrats
[65:01] Great result
[65:02] Thank you sir
[65:03] Thank you and us
[65:04] Ok
[65:05] Since the 260 here
[65:06] I want to
[65:07] I'm Chinese
[65:08] 各位
[65:09] 再做个简单报告
[65:12] 公司状况
[65:13] 我想这个不多说了
[65:14] 都这样子了
[65:15] 那研发的费用确实是高
[65:17] 但是为什么要高
[65:18] 因为美国公司在台湾挖人
[65:21] 我们培养好工程师
[65:23] 如果没有办法留得住
[65:24] 对公司长期是损害
[65:26] 那现在反过头看
[65:27] 谁有能力留得住
[65:28] 所以我们的
[65:29] 肥用会强力的
