SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://www.youtube.com/watch?v=-u2BzwbeDqg
VIDEO TITLE: 【完整公開】鴻海第二季法說會 聚焦AI及營運展望 @投資看非凡
CALL DATE: 08-12-2026
QUARTER: Q2 FY2026
# source label: Foxconn Q2 FY2026 (08-12-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 1535   characters: 16,479

---
[00:46] 各位投資以及媒體先進大家好
[34:31] 到機櫃的組裝
[34:33] 以至於到機櫃與機櫃之間的連結
[34:37] 在機櫃的內部
[34:38] 我們同時也整合了自製的零組件
[34:41] 包括了夜冷散熱
[34:43] 電源管理
[34:44] 連接器
[34:46] Bus Bar
[34:47] 機構件以及高速傳輸等
[34:49] 高附加價值的環境
[34:51] 零組件的自製率達到了五成以上
[34:55] 而且AI機櫃的複雜度很高
[34:58] 包含了高功率的設計
[35:00] 夜冷系統
[35:01] 系統整合
[35:02] 測試驗證
[35:03] 以及客戶科制化的需求
[35:06] 這些都需要長期累積的工程能力
[35:09] 以及供應鏈的管理經驗
[35:12] 進入的門檻只會越來越高
[35:15] 我們藉由從0到1的設計能力
[35:18] 以及從1到100的全球量產實力
[35:22] 成為客戶的首選
[35:24] 與其在新一代的平台中
[35:26] 我們的市占率
[35:27] 還會進一步的提高
[35:29] 謝謝
[35:30] 謝謝蔣總
[35:32] 第二題是有關資金規劃的部分
[35:34] 想要請教財務長
[35:36] 在過去幾年公司持續的擴大資本支出
[35:39] 隨著AI的業務進一步成長
[35:42] 今年看起來投資規模
[35:43] 還是會足夠增加
[35:45] 想要請問財務長
[35:47] 會怎麼樣看待這些資本支出
[35:49] 對於獲利以及現金流的回報影響
[35:53] 未來新增的資本支出
[35:54] 還有營運資金的需求
[35:56] 公司會如何去籌措
[35:58] 會不會有股權募資的需要
[36:00] 謝謝
[36:02] 好 謝謝Question
[36:04] 我想先從資本支出
[36:05] 和投資回報切入
[36:08] 來說明
[36:09] 過去幾年
[36:10] 隨著AI業務成長
[36:12] 以及全球製造佈局的擴大
[36:14] 還有自動化的需求
[36:16] 我們持續增加資本支出
[36:19] 2024年
[36:20] 資本支出約1363億
[36:24] 年增約216億元
[36:26] 2025年
[36:27] 進一步增加到約1738億元
[36:31] 年增374億元
[36:34] 從目前的營運成果來看
[36:36] 這些前期投資
[36:38] 以逐步反映到營收規模
[36:41] 還有獲利能力上面
[36:43] 2025年營收達到8.1兆元
[36:47] 年增1.24兆元
[36:49] 營業利益達2592億元
[36:52] 年增586億元
[36:55] 今年上半年
[36:56] 資本支出約809億元
[36:58] 年增37億元
[37:00] 同期營業利益達1700億元
[37:04] 年增674億元
[37:06] 也就是說
[37:08] 營業利益的成長速度
[37:09] 高於營收成長
[37:11] 顯示前期的資本投入
[37:14] 正在逐步轉化為
[37:16] 規模的經濟效益及獲利能力
[37:19] 從現金創造能力來看
[37:21] 去年一幣大約3570億元
[37:25] 年增680億元
[37:27] 今年上半年一幣達達2277億元
[37:30] 年增776億元
[37:32] 這顯示
[37:34] 核心營運的現金創造能力
[37:36] 持續提升
[37:38] 當然
[37:39] 今年上半年
[37:39] AI業務及整體營運規模
[37:41] 快速成長
[37:43] 也同步帶動
[37:44] 營收賬款
[37:45] 存貨等營運資金需求的增加
[37:49] 因此自由現金流
[37:50] 會有階段性的流出
[37:53] 但從整體獲利及現金創造能力來看
[37:56] 前期投資以逐步產生貢獻
[37:59] 也支持公司
[38:01] 持續擴大投資
[38:02] 及執行現金鼓勵的政策
[38:05] 展望今年全年
[38:07] 因應AI伺服器機櫃
[38:09] 以及區域製造等需求
[38:11] 我們預期全年資本支出
[38:13] 人將年增三成以上
[38:16] 主要是提前擴充伺服器
[38:18] 機櫃
[38:18] 液冷及測試等關鍵產能
[38:21] 同時強化全球製造與自動化的部分
[38:24] 這個當當
[38:25] 前面這個輪子CEO Michael也說明過
[38:28] 好
[38:29] 這些資本支出主要是基於客戶需求
[38:32] 及業務成長所進行
[38:34] 因此
[38:35] 我們相信
[38:36] 相關投資也會在未來持續產生貢獻
[38:40] 未來公司的資金需求
[38:42] 主要可以分為兩個部分
[38:44] 第一個是資本支出
[38:46] 第二個是隨時業務成長所增加的
[38:48] 營運資金需求
[38:51] 在資金安排上面
[38:52] 我們會維持穩健與彈性
[38:54] 基本原則就是以短之短
[38:57] 以長之長
[38:59] 在財務供給的選擇上面
[39:01] 我們會綜合考量
[39:03] 成本
[39:04] 這是很重要的
[39:05] 還有期限
[39:07] 還有外部市場的環境條件等因素
[39:10] 來維持公司的財務彈性
[39:13] 短期營運資金主要透過營運資金管理
[39:17] 以及銀行額度來指引
[39:19] 中長期的資本支出需求
[39:22] 則會以不同的資本市場工具
[39:25] 籌集長期的資金
[39:27] 以目前市場條件來看
[39:29] 宏海的信用條件可以取得相對
[39:32] 有競爭力的債務融租成本
[39:35] 我們將會其作為主要的資金來源之一
[39:39] 至於股權募資現階段公司並沒有
[39:42] 透過現金增資來支應業務成長的規劃
[39:47] 在資本結構管理上
[39:48] 我們會持續維持投資等級的信用平等
[39:52] 並以ROC高於12%
[39:55] NetDev 除上 EBITDA低於1.5倍等指標
[39:59] 來管理財務結構
[40:01] 這也是SMP
[40:03] 性平公司對宏海公司的要求
[40:06] 我們的原則是在支持AI
[40:08] 及整體業務成長的同時
[40:11] 維持穩健的資本結構及足夠的財務彈性
[40:16] 所以總結來說
[40:18] 過去的資本投入
[40:19] 以逐步反映在營收
[40:21] 營業利益及現金創造的能力上
[40:24] 未來雖然KPEC的資本支出
[40:26] 及營運資金的需求仍然會增加
[40:30] 但現階段公司具備足夠的
[40:32] 內部資現金創造能力
[40:35] 及融資能力來指引成長
[40:39] 而且以現在公司葬上現金
[40:42] 及定存合計達1.5兆元
[40:45] 而且處於進現金達2198億元
[40:49] 這種情況之下
[40:52] 也維持標準普瓦A-信用平等
[40:55] 而且展望是正向的情況之下
[41:00] 以目前這種穩健的財務結構
[41:02] 以充益的流動性
[41:04] 為公司的持續成長
[41:06] 擴大投資以及因應市場變化
[41:09] 提供了一個堅強的財務韌性
[41:11] 與資金的基礎
[41:12] 以上
[41:14] 謝謝財務長
[41:15] 那接下來是最後一個問題
[41:16] 線上如果想要提問的朋友
[41:18] 現在可以點選舉手符號等候
[41:21] 我們在下一題問答結束之後
[41:23] 將會開放給線上的法案與媒體
[41:25] 自由提問
[41:27] 那最後一題想要請教蔣總
[41:29] 關於利潤率的部分
[41:31] 那綜合在產品組合的變化
[41:34] 零組件
[41:35] 機櫃成本上升
[41:36] 還有下半年首級忘記的因素
[41:39] 公司會如何看待
[41:41] 下半年的營業利潤率的表現
[41:44] 那特別是AI機櫃的單價越來越高
[41:47] 公司是不是還能夠維持
[41:48] 營業利潤率在3%以上的水準
[41:51] 謝謝
[41:53] 好
[41:53] 謝謝Chris
[41:55] 我想隨著新一代
[41:56] AI伺服器規格的持續升級
[41:59] 系統的複雜度
[42:01] 零組件的價值以及機櫃的成本
[42:03] 都會提高
[42:05] 同時下半年進入消費性電子產業的忘記
[42:09] 產品組合的變化
[42:10] 也會對毛利率以及營業利潤率
[42:13] 產生一些影響
[42:15] 不過作為客戶AI伺服器的
[42:17] 共同設計開發夥伴
[42:20] 我們從產品的開發初期
[42:22] 就和客戶共同導入了
[42:24] Design for Automation
[42:26] 以及Design for Manufacturing的概念
[42:29] 針對新一代的AI機櫃
[42:31] 搭配新的零組件的導入
[42:33] 我們已經朝全自動化產線的方向設計
[42:37] 換句話說
[42:38] 我們活用了鴻海量產能力的經驗
[42:41] 一開始就導入我們擅長的標準化模組
[42:45] 大幅提高產品的量產性以及生產效率
[42:51] 在此同時
[42:52] 我們同步開發自動化的設備
[42:55] 確保客戶新產品量產的初期
[42:57] 我們就可以透過標準化
[42:59] 模組化以及自動化的設計
[43:02] 搭配鴻海內部開發的自動化設備
[43:05] 進一步提升生產效率
[43:07] 產品品質以及量產的能力
[43:10] 我們一方面滿足客戶出貨的目標
[43:13] 另外一方面
[43:14] 也可以確保鴻海的領先優勢
[43:17] 並且持續的擴大施展率
[43:20] 隨著AI機櫃規格升級
[43:23] 單櫃的價值也同步的提高
[43:26] 我們會依照不同客戶以及專案的特性
[43:29] 靈活的採用
[43:30] by and sell
[43:31] 或者是concernment的交易模式
[43:34] 這其中
[43:35] 客製化程度比較高的
[43:37] Athic AI伺服器專案
[43:39] 目前大多以concernment的模式為主
[43:42] 這不僅能降低高單價零組件
[43:44] 對營運資金的佔用
[43:47] 也有助於提升資產運用的效率
[43:50] 進一步優化我們的營運結構
[43:53] 與財務品質
[43:55] 雖然不同世代的AI產品的價格
[43:57] 成本結構以及成名組合
[44:00] 都會有所變化
[44:02] 但我們對營運效率以及成本管理
[44:04] 仍然非常有信心
[44:06] 今年上半年營業利潤率
[44:08] 達到了3.67%
[44:10] 比去年同期
[44:12] 也增加了0.67個百分點
[44:15] 對我們預計今年
[44:17] 將會超越去年3.2%的表現
[44:20] 中長期維持在3%以上的目標
[44:24] 維持不變
[44:25] 以上
[44:26] 謝謝蔣總
[44:27] 那我們現在開放給線上的
[44:29] 法人與媒體自由提問
[44:31] 請一次完整說明問題
[44:33] 每位最多提問兩題謝謝
[44:35] now we will move to Q&A session
[44:38] English question is also welcome
[44:41] 好那第一位
[44:42] 我們請也村政卷的分析師
[44:45] Anne提問
[44:46] 他Anne
[44:46] 你好
[44:47] 嗨蔣總財務長
[44:50] James你聽得到我聲音嗎
[44:52] 可以請摔耶
[44:53] 好謝謝
[44:55] 我第一個問題是想要問說
[44:57] 今年公司已經成功
[45:00] 打入了tpu產品的供應鏈
[45:02] 那想請公司分享說
[45:04] 目前主要供應的產品類別跟服務
[45:08] 以及未來
[45:09] 我們預計會多爭取哪一類
[45:12] 相關的服務呢
[45:13] 這是我第一題
[45:14] 然後第二題的話是隨著那個
[45:17] agentic ai帶動cpu的需求
[45:20] 那公司如何
[45:22] 看待這個通用伺服器的那個市場展望
[45:25] 那今年來講的話
[45:27] 公司的指引是雙位數的成長
[45:29] 但是想了解說現在看到的
[45:31] vs. 三個月前看到的是否有更加樂觀
[45:34] 那以及就是說明年的
[45:36] 就是通用型伺服器的成長的展望
[45:39] 這是我兩個問題謝謝
[45:41] 好謝謝
[45:41] 那我們第一題先請蔣總的回答
[45:44] 好謝謝Anne的提問
[45:46] 我想有關於單一客戶
[45:48] 以及單一產品的細節
[45:50] 我們在這裡不太方便評論
[45:53] 不過可以跟您分享的是
[45:55] 今年我們在asic專案上面
[45:57] 確實取得了一些新的進展
[45:59] 這包括新客戶的導入
[46:01] 以及新的專案機會
[46:03] 所以我們除了在gpu市場上
[46:05] 有很高的份額之外
[46:07] 今年我們在asic的市佔率
[46:09] 也會大幅的提高
[46:11] 我們在as伺服器的領域
[46:13] 累積了相當完整的產品與製造的經驗
[46:16] 在客戶未來幾代的產品
[46:18] 也會有更全面的參與
[46:21] 同樣在as伺服器的系統設計
[46:24] 以及製造能力很有優勢
[46:26] 我們也都提供gpu
[46:28] 以及asic雙重的解決方案
[46:32] 所以對asic專案的發展相當有信心
[46:35] 我們也會跟著客戶
[46:36] 強勁的需求持續的成長
[46:40] 我們也會依照不同專案的需求和特性
[46:43] 在模組冷卻系統
[46:45] computer and 機櫃整合等關鍵環節
[46:49] 承擔不同層級的角色
[46:51] 來協助客戶加速量產的導入
[46:55] 另外我們在系統級的機櫃架構的設計
[46:58] 以及開發經驗
[47:00] 也是客戶非常重視的能力
[47:02] 這些經驗可以提供客戶
[47:04] 發展更有競爭力的asic伺服器
[47:07] 這尤其是在未來業冷
[47:09] 以及高功率系統的整合需求
[47:12] 因此我們認為
[47:13] 這會是未來與客戶生化合作
[47:16] 擴展更多專案的重要優勢
[47:19] 以上
[47:20] 好
[47:20] 我來回答第二題
[47:22] 今年以來大家對於CPU的需求
[47:25] 持續擴大有很好的預期
[47:28] 背後最主要的原因
[47:29] 就是Gentic AI的一個發展
[47:32] 隨著Gentic AI應用的逐步增加
[47:36] 除了AI訓練跟推論的需求之外
[47:40] 也會帶動更多動用型伺服器的運算需求
[47:43] 我們在預估整個動用型伺服器市場
[47:47] 未來幾年仍然會有不錯的一個成長動能
[47:51] 如果以今年來看
[47:52] 整個通用型伺服器
[47:55] 也會是足跡成長的表現
[47:57] 下半年的成長幅度
[48:00] 會跟商教上半年
[48:01] 會有雙位數以上的成長
[48:03] 那需求的能見度
[48:04] 的確是比三個月前更好一些
[48:07] 如果依據產業的預估
[48:10] 2026年通用型伺服器
[48:13] CPU的出貨量可望年增大概16%
[48:16] 如果明年度的話
[48:17] 可能會進一步提升到23%
[48:20] 要顯示整個需求的動能
[48:22] 還是持續的在增強
[48:24] 因為我們是全球伺服器
[48:26] 主要的Odm廠商
[48:28] 跟主要的CSP以及品牌的業者
[48:30] 都有很好很長期的合作關係
[48:33] 所以我們預期
[48:34] 整個紅海在通用型伺服器
[48:36] 以及CPU型態的伺服器的業務的成長
[48:40] 都有機會可以優雲整體產業的平均
[48:44] 以上
[48:45] 那下一題我們請
[48:46] New Burger的
[48:48] Wayne提問
[48:49] Wayne請
[48:51] 是聽得到我聲音嗎
[48:53] 可以 請說
[48:54] 是 謝謝公司時間
[48:56] 那個我兩個問題
[48:58] 第一個就是說關於這個
[49:00] Networking網通的部分
[49:02] 那包含像是Switch
[49:03] 或者是像是Transliver Module
[49:05] Component等等的話
[49:06] 那目前在公司的營收規模
[49:09] 還有這個利潤率的水準
[49:11] 能不能跟我們分享一下
[49:12] 那尤其對於這個未來的市場的成長
[49:15] 佈局還有未來的這種公司的
[49:19] 營收 獲利跟市債率的指引
[49:21] 那尤其是說這個
[49:23] CPU跟NPO的部分
[49:26] 剛剛有提到這個CPU Switch
[49:28] 目前設略的是走這些
[49:30] 那還有沒有一些什麼
[49:31] 量化的目標可以跟我們參考
[49:34] 這是第一個部分
[49:35] 那第二個的話就是那個
[49:38] 其實美國CSP那邊
[49:40] 今年一直都有在上調這些
[49:42] CAPEX的展望嘛
[49:44] 那公司是不是也
[49:45] 除了這些數字之外
[49:46] 訂單的能見度有同步提升嗎
[49:49] 除了這大型的幾家
[49:51] CSP的客戶之外
[49:53] 近期有沒有看到
[49:55] 更多這種Neocloud的客人
[49:57] 這種訂單或者是需求
[49:59] 那鴻海公司這邊如何看待這種
[50:03] 客戶 Neocloud客戶的需求前景
[50:05] 這我兩個問題謝謝
[50:07] 好 那我們先請蔣總盤回答有關
[50:09] 新客戶的問題
[50:13] 好 這個有關於
[50:15] 謝謝為了這個提問
[50:16] 我想有關於這個
[50:17] CSP的投資持續的擴大
[50:20] 我們的訂單能見度呢
[50:21] 也在同步的提升
[50:23] 目前已經明確的看到
[50:25] 明年的訂單還是會持續的向上
[50:28] 從需求的角度來看
[50:30] AI資料中心的商機非常龐大
[50:33] 推動AI算力龐大的需求
[50:35] 主要有來自於大語言模型的廠商
[50:39] CSP以及Neocloud
[50:40] 還有政府以及企業等四大類別
[50:44] 那目前是以模型廠商以及
[50:46] CSP Neocloud為主要的需求來源
[50:50] 政府跟企業端目前需求的貢獻
[50:53] 還比較小
[50:55] 但是各國的政府跟企業都知道
[50:57] 必須要跟上AI的趨勢
[50:59] 只是還在摸索具體的用途
[51:02] 這個是未來極具潛力的需求驅動力
[51:05] 除了大型的CSP之外
[51:08] 我們也看到更多新型雲端客戶
[51:11] 以及AI模型開發公司的需求正在增加
[51:15] 如同我們剛剛在簡報中介紹的
[51:17] 投入大語言模型開發的製造商
[51:20] 他們希望把AI
[51:22] 從現在的協議人工智慧
[51:24] 推進到通用人工智慧
[51:26] 甚至於到超級人工智慧
[51:29] 但單單光是要進入通用人工智慧的階段
[51:34] 需要處理超過一兆個參數
[51:37] 對算力的需求大幅的提升
[51:39] 因此這類客戶已經成為目前
[51:41] AI基礎建設需求成長的重要來源
[51:45] 在未來除了持續深化
[51:47] 與主要CSP的客戶合作之外
[51:49] 不像我們也會積極的掌握新型客戶
[51:52] 帶來的增量的機會
[51:55] 隨著AI應用逐步從模型訓練
[51:57] 延伸到推理的應用
[52:00] 企業AI服務以及主權雲等領域
[52:04] 新型的雲端需求
[52:06] 渴望持續的成長
[52:08] 很快在今年年底以前
[52:10] 應該就會開始看到
[52:12] 我們新型雲端客戶的貢獻
[52:14] 以上
[52:16] 好 我來回答第二題有關網通的部分
[52:19] 那今年上半年
[52:20] 紅馬德交換機的產品
[52:22] 受惠於整個儲物量
[52:24] 以及單價的途徑提高
[52:26] 那我們的網通產品的營收
[52:28] 達到了強勁的成長
[52:30] 那隨著AI機櫃的算力提升
[52:33] 對於網路平衡
[52:34] 以及高速互聯的需求增加
[52:36] 也帶動了交換機規格的持續的升級
[52:40] 我們認為
[52:40] 這也會進一步推升整個網通產品
[52:43] 從傳統的高速童年街
[52:45] 逐步走向光通訊
[52:47] 以及更高階的CPU等技術
[52:50] 我們判斷
[52:51] 光通訊跟網路的將成為
[52:53] AI基礎建設的下一個重要的成長趨勢
[52:57] 那高階的交換機產品的進度
[53:01] 在目前內部來看是符合預期的
[53:03] 那我們的CPU交換機已經開始出貨
[53:06] 那目前主要應用在Scale Out
[53:09] 也就是AI機櫃之間的橫向的擴充
[53:12] 那未來隨著平台世代以及系統架構的升級
[53:17] 也會逐步拓展到Scale Out的一個應用
[53:21] 那除了CPU的交換機之外
[53:23] 我們目前也持續強化在光模組
[53:26] 光電整合 高階的封裝
[53:28] Cable Connector等等
[53:30] 這些關鍵領主鍵的佈局
[53:32] 並且投入高速傳輸以及電源管理相關的模組
[53:37] 透過隨著整合跟提高關鍵領主鍵的一個自製比例
[53:41] 我們認為未來不論是單機
[53:45] 或者是整體的附加價值
[53:47] 都還有進一步提升的一個空間
[53:49] 那產品的複雜度提升
[53:51] 也會帶來更好的一個利潤性
[53:53] 那整個市場預估
[53:55] 光通訊在未來幾年會維持
[53:57] 高速的成長
[53:58] 那整體的市場規模可能會達到1000億美元以上
[54:02] 所以我們會逐步擴大CPU交換機
[54:05] optical receiver等等
[54:07] 這一類相關產品的規模
[54:09] 那長期來看
[54:10] 整個網通產品也會成為
[54:12] 宏海獲利貢獻提升的重要來源
[54:15] 以上
[54:17] 那下一題我們請麥格里的分析師
[54:19] 凱莉來提問 凱莉請
[54:23] 你好 關利接層你們好
[54:24] 請問聽得到我的聲音嗎
[54:26] 我可以 聽說
[54:28] 好 我就一個比較大象的問題
[54:32] 今年有不少ODM開始在部分的
[54:34] AI伺服器專案採用ConSimon的模式
[54:38] 那宏海剛剛有提到在
[54:39] A6 Server專案有採用
[54:42] 請問未來我們的GPU Server
[54:44] 是否也有機會採用ConSimon
[54:47] 那公司如何看待
[54:48] ConSimon還有Bandsell
[54:50] 兩種交易模式未來的比重變化
[54:54] 另外
[54:55] 我們在採用ConSimon模式之後
[54:57] 我們現在A6 Server
[54:59] 大概占上半年AI Server
[55:02] 營收有多少的比重
[55:04] 那隨著下半年
[55:06] 新專案陸續量產
[55:08] 公司如何看待
[55:09] A6業務未來的營收成長以及市占率
[55:13] 謝謝
[55:15] 好 那這裡有關交易模式
[55:16] 我們請財務長回答
[55:18] 好 謝謝凱莉
[55:21] 目前ConSimon主要是
[55:22] 應用在這個A6專案
[55:24] 這個之前這個論壇CEO麥可提過
[55:27] 但未來不論是A6或GPU專案
[55:30] 都有可能採用ConSimon的模式
[55:32] 主要還是取決於客戶的需求
[55:35] 專案特性以及雙方的合作的模式
[55:39] 就目前來看
[55:40] A6專案採用ConSimon的比例相對比較高
[55:44] 主要是不同客戶在應用場景
[55:46] 系統架構還有客戶
[55:48] 客製化需求上面的差異比較大
[55:51] 對紅耳而言
[55:53] ConSimon可以降低零組件庫存
[55:55] 及資金佔用
[55:57] 同時降低存貨價格波動的風險
[55:59] 有助於提升資產周轉效率
[56:01] 及整體財務的品質
[56:04] 至於ConSimon與Buy and Sell的比例
[56:06] 我們不會設定固定的轉換資深或比例
[56:10] 而是依個別客戶及專案逐漫評估
[56:13] 隨時A6專案的持續增加
[56:16] 以及部分客戶
[56:17] 在供應鏈管理模式上的調整
[56:20] 我們預期ConSimon占比會逐步的提升
[56:23] 也符合A6市場的發展趨勢
[56:27] 依市場預估
[56:28] A6在AI伺服器中的出貨占比
[56:30] 將從今年
[56:32] 大概28%逐步提升到2030年接近40%
[56:37] 我們去年AI伺服器營收當中
[56:39] 約1成來自於A6伺服器
[56:42] 以今年上半年來看
[56:44] A6的營收
[56:46] 占比約略高於去年的全年
[56:49] 不過A6專案目前主要採ConSimon是
[56:52] 因此單看財報任劣的營收
[56:55] 不能完全反映實際的業務規模
[56:57] 展望下半年
[56:58] 隨止新產品陸續出貨
[57:00] 專案數量持續的增加
[57:02] 我們預期A6的出貨規模
[57:04] 及獲利貢獻都會持續提升
[57:07] 至於市占率
[57:08] 我們對於A6的目標同樣是四成以上
[57:12] 除了既有的產品開發及量產經驗
[57:15] 如同剛才蔣總提到的
[57:17] 我們也會發揮垂直整合的優勢
[57:20] 更全面參與A6專案
[57:23] 依照客戶的需求提供完整的服務
[57:26] 對A6未來幾年的成長
[57:28] 也維持相當正向的看法
[57:30] 以上
[57:32] 好 那現在我們請TVBS的配影提問
[57:35] 配影請
[57:40] 配影有聽到嗎
[57:43] 那如果沒有的話我們請下一位請
[57:48] 有聽到的
[57:49] 也有請說
[57:51] 蔣總 財務長還有鑽砍
[57:53] 我是TVBS的配影
[57:54] 我想請教一下
[57:55] 因為市場高度關注NVIDIA
[57:57] VeraRubin的出貨跟市占
[57:59] 那想問一下
[57:59] 從還目前在VeraRubin放量的時程
[58:02] 預計在什麼時候
[58:03] 那大概貴數會是多少
[58:05] 是否有可能拿到將近50%的市場份額呢
[58:08] 謝謝
[58:10] 好 那這點我們請蔣總回答
[58:12] 好 謝謝配影的提問
[58:15] 我想在產品的進度方面
[58:16] 我們維持新一代
[58:18] AIG規定三季開始進入量產準備
[58:21] 第四季開始出貨的這個規劃
[58:24] 那隨著產品驗證陸續的完成
[58:26] 以及供應鏈還有產能的逐步到位
[58:29] 我們預計後續的幾季的出貨量
[58:31] 還會持續的提升
[58:33] 那在明年會成為我們的主力產品
[58:37] 新一代的AIG規的自動化程度
[58:39] 大幅的提升
[58:40] 以及我們垂直整合
[58:42] 還有系統化交付能力的提升
[58:44] 這些都幫助我們爭取到新客戶
[58:47] 還有新專案
[58:48] 帶動施戰率的進一步提升
[58:51] 目前我們還是朝著五成的目標在邁進
[58:55] 至於明年整體市場的規劃數量
[58:58] 我們認為關鍵還是在於晶片客戶
[59:01] 能夠取得多少CoVas的產能分配
[59:04] 市場目前預期明年CoVas的產能
[59:06] 將會有50%以上的成長
[59:09] 但是最終能夠轉化成多少新一代的AIG規
[59:13] 還是要看晶片的供應狀況
[59:17] 目前我們看到客戶的需求
[59:19] 以及專案的能見度都相當的正向
[59:22] 我們也會持續的密切關注整體供應鏈
[59:24] 以及資料中心的建置進度
[59:27] 並且還在持續的擴充全球的AI產能
[59:30] 做好量產以及出貨的準備
[59:33] 謝謝
[59:34] 好 那下一題我們請凱基正卷的Angela提問
[59:37] Angela請
[59:41] 你好 蔣總財務長還有Jens你們好
[59:45] 我大概有兩個主要的問題想請教一下
[59:48] 就是第一個
[59:49] 剛剛我們當然有提到一些
[59:51] 後續GPU或者VR這些機櫃的進程
[59:54] 那就是除了這種GPU的IT機櫃的話
[59:58] 可以也幫我們提一下
[59:59] 之前曾經有略微提到的一些像
[60:03] 一些獨立軌
[60:04] 比如說像LPU機軌或者是VR的CPU RAC
[60:08] 好 想請教一下這些產品
[60:12] 大概它的量產時程是怎麼樣的一個schedule
[60:16] 那這些量大概怎麼來看待
[60:20] 還有就是說這些類型的產品
[60:22] 它的毛利率
[60:25] 大概會是Versus平均值
[60:27] 怎麼樣的一個表現
[60:28] 這個是我第一個問題
[60:30] 然後第二個問題比較是針對
[60:34] 公司其實在一些key advantage上面
[60:37] 有提到說我們其實是一個比較想轉型
[60:41] 成AI平台的供應商
[60:44] 然後這個其實當然我覺得跟
[60:47] 很多的代工廠商的定位
[60:50] 可能是比較不一樣
[60:52] 那當然剛剛簡報裡面也有提到一些
[60:55] 公司在AI的
[60:57] data center基礎設施
[60:59] 有跟一些國際公司
[61:01] 像Intel Schneider等等這些的合作
[61:04] 然後也有跟主權AI平台
[61:06] 上面的一些合作
[61:09] 然後自主AI模型
[61:10] 自己也有做這樣的一個
[61:12] fast brand的優化等等
[61:14] 可以跟我們在在分享一下說
[61:17] 像這些的佈局啊
[61:19] 對於我們競爭力
[61:21] 當然是有幫助就是說在我們的
[61:24] 財報獲利性或者是我們AI
[61:26] 的生產製造
[61:28] 呃就是在
[61:29] 這些訂單的value aid上面
[61:32] 他是會呈現一個
[61:34] 後續會加速
[61:36] 呃
[61:37] 比較明顯看到一些
[61:39] 成效的這樣子的貢獻嗎
[61:41] 還是說他是在哪裡會
[61:43] uh enhance到我們自己本身在
[61:45] basis上面的一個優勢
[61:48] 主要這是兩個問題請教謝謝
[61:51] 好先請蔣總回答
[61:53] 好呃有關於這個
[61:56] 獨立的機櫃的這些方面的問題啊
[61:58] 呃謝謝Angela的提問
[62:00] 那我想客戶新一代的cpu啊
[62:03] lpu啊還有switch機櫃等等
[62:06] 我們目前都在進行產能的調配
[62:08] 以及前期的量產準備
[62:10] 依照目前的進度來看
[62:12] lpu以及vera相關的產品
[62:14] 預計在第三季開始進入生產
[62:17] 第四季呢會主步的放量
[62:19] 那真正較大規模的出貨
[62:21] 我們預計會落在明年
[62:23] 啊因為這些產品的單價呢
[62:25] 比較低低於gpu的ai機櫃
[62:28] 所以即使明年出貨量逐步放大
[62:31] 相比於gpu的機櫃
[62:33] 對整體的營收以及毛利的影響
[62:36] 相對會比較有限
[62:38] 但是這些產品的意義是
[62:40] 不論客戶需要什麼樣的平台的產品
[62:43] 我們都可以提供
[62:45] 而且大多數的專案
[62:46] 我們都會協助客戶
[62:48] 做到從0到1的設計開發
[62:51] 以及1到100的大規模量產
[62:53] 成為最主要的合作夥伴
[62:55] 我想這是針對您剛才的這個提問
[62:59] 的回答謝謝
[63:01] 那我簡單回答一下
[63:02] 關於ai平台的部分
[63:04] 因為台灣的廠商基本上比較
[63:07] 著重在所謂ai的硬體
[63:09] 那麼認為ai
[63:11] 我終究要能夠產生更大的價值
[63:14] 就必須在ai的軟體
[63:15] 跟ai的應用要有更多的矚目
[63:17] 這也是鴻海非常聚焦的一個部分
[63:20] 如果舉例
[63:21] 我們有三大智慧平台
[63:23] 智慧製造
[63:24] 我剛在這個會中提到Genesis
[63:27] 主要是怎麼樣可以做到內部效率的提升
[63:30] 如果像智慧電動車
[63:31] 或者是智慧的城市
[63:33] 這些都可以對外銷售的一些營運模式
[63:35] 所以回答你的問題就是
[63:37] 一方面我們可以提升內部的效率
[63:40] 來提升我們的獲利能力
[63:41] 一方面我們可以把這些專案
[63:43] 來做為對外銷售
[63:45] 產生營收跟貢獻
[63:47] 那以上是簡單的回答
[63:49] 那因為時間的關係
[63:50] 我們在開放最後一個問題
[63:52] 那我們請東森財經的可勳來提問
[63:57] 這樣有聽到我聲音嗎
[63:59] 可以請說
[64:00] 好
[64:01] 張總政總裁
[64:02] 你們好
[64:02] 我是東森財經的可勳
[64:03] 我想問一題是有關於
[64:05] 因為今年是鴻海住之
[64:07] Shark建滿十週年了
[64:09] 那蔣問未來是不是可以跟外界分享一下
[64:11] 雙方下一個十年的合作跟定位的
[64:15] 謝謝
[64:16] 老確實今天是一個非常特別的日子
[64:20] 2016年的今天
[64:22] 也就是鴻海完成住之Shark的當天
[64:26] 所以今天也就是鴻海
[64:28] 跟Shark的洗手滿十週年的
[64:30] 一個重要的理想杯
[64:32] 我們一直都相信
[64:33] Shark不僅是享譽全球的品牌
[64:37] 也是日本的重要資產
