SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://www.youtube.com/watch?v=OjUKhWDTmPY
VIDEO TITLE: replay
CALL DATE: 08-11-2026
QUARTER: Q2 FY2026
# source label: Zhen Ding Q2 FY2026 (08-11-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 1413   characters: 13,097

---
[00:02] 申請科技控股部分有限公司
[35:09] 但是我們現在是兩邊都有
[35:15] 好
[35:16] 謝謝董事長的回答
[35:19] 第二個線上的投資人提問
[35:21] 是想請教關於co-ops的技術發展
[35:26] 那公司怎麼看待
[35:28] 對於IC載板的影響
[35:31] 那公司是兩者都做
[35:34] 所以我在猜影響可能不大
[35:36] 長期公司怎麼看這兩者策略的發展
[35:40] 這不我剛剛在切開的時候
[35:42] 我想我們都會走
[35:44] 但是關於載板這塊
[35:45] 今天可能我剛剛開完開始講
[35:47] 我想今天在這個場合
[35:49] 就不必回顧這個問題
[35:51] 但是我想我們兩者都有
[35:53] 好
[35:56] 謝謝董事長的回答
[35:57] 那我們進行下一個投資人提問
[36:00] 投資人想要了解
[36:02] 未來五年新增產能
[36:04] 及資本支出的整體情況
[36:07] 而其中光模組PCB
[36:10] AI持不去PCB
[36:12] IC載板
[36:13] 柔性電路板
[36:15] 或FPC
[36:17] 各佔多大的比例
[36:19] 那此外
[36:20] 在新增產能的量產時間表
[36:23] 大概怎麼樣
[36:24] 例如
[36:25] 如果回來HD工廠
[36:27] 於2027年3月投產
[36:29] 在經歷一年產能爬坡後
[36:33] 量產時間是否極為
[36:36] 2028年的3月呢
[36:39] 這一點我的答覆
[36:41] 我想
[36:42] 未來整個的佈局
[36:44] 我剛剛特別談到
[36:45] 我們光模塊AI伺服器
[36:47] 跟IC載板
[36:48] 是我們未來整個
[36:49] 三個大成壞
[36:50] 剛剛特別看到
[36:52] 2030年的時候
[36:53] 我們會達到
[36:54] 在整個集團營
[36:55] 說45%到50%
[36:57] 所以我想這三大塊
[36:58] 我們應該是
[37:00] 資本支出
[37:02] 應該重點放在這三大塊
[37:04] 那當然載板部分
[37:06] 因為載板來說的話
[37:08] 它投資資本更大
[37:10] 所以它的比例會高一點
[37:12] 但是光模塊跟AI伺服器
[37:14] 應該交收從百分比來說的話
[37:16] 所以這個IC載板
[37:18] 可能會大一點
[37:19] 因為它的資本支出高
[37:21] 我以前是這樣講
[37:22] 作為投資一塊錢載板
[37:24] 預債高端載板一塊錢
[37:26] 只能做五毛錢而已
[37:28] 那伺服器要
[37:30] 光模塊要
[37:31] 可能可以做六毛到七毛
[37:33] 但是三個的產值
[37:34] 應該差不多
[37:36] 那載板的部分
[37:37] 我們還是繼續成長
[37:38] 但是它的
[37:39] 因為載板是我們的起家
[37:41] 已經量也過大了
[37:43] 但是我們還是繼續成長
[37:44] 並沒有因為載板
[37:45] 說投資本載板就衰退下來
[37:48] 它的成長還是有
[37:49] 但是比例沒有那麼快
[37:50] 這是第一點跟各位說明的
[37:52] 那第二點的發安的
[37:54] 量產工廠
[37:56] 就三月份
[37:57] 明年三月份投產
[37:58] 但是因為我們都是
[38:00] 都是在同一個場區裡面
[38:02] 所以它的認證期間
[38:04] 就P1場 P2場一樣
[38:06] 其實我只要可以客戶
[38:09] 大概都是同時
[38:10] 所以量產時間
[38:12] 不要到2028年的三月份
[38:15] 我想只要三月份能夠投產的話
[38:17] 我想量產應該是
[38:19] 第二期就可以量產
[38:21] 應該會加快速度
[38:25] 好 謝謝董事長的回答
[38:27] 下一個投資人提問是
[38:30] 請問隨著競爭對手
[38:32] 尤其是大陸廠商激進的資本開支
[38:36] 那公司如何保證
[38:38] 未來的利潤水平呢
[38:41] 公司如何保證
[38:46] 我想請大家都在擴廠
[38:49] 沒有這段期間
[38:50] 其實大家可以看到
[38:52] 大陸都在擴廠
[38:53] 但是大部分都還是在那裡
[38:55] EIS-EIS-157這一塊的擴廠量
[38:58] 是最大的
[38:59] 那曾經集團來說的話
[39:01] 應該算是比較
[39:02] 剛剛在報告裡面特別談到
[39:05] 當然現在很多人講說
[39:07] 他想做光門塊
[39:08] 我所聽到大概至少20家做光門塊
[39:11] 但是高階的光門塊
[39:12] 他是用到類宅板
[39:14] 那真正把類宅板做好了
[39:16] 其實並不多
[39:18] 並不多
[39:19] 不至代表說他們不肯
[39:20] 但是我真的不多
[39:22] 尤其在宅板這一塊也不多
[39:24] 所以我想對我們來說的話
[39:27] 我們應該會
[39:30] 比較漸前整個的發展
[39:32] 因為他們是集團站那一塊
[39:34] 但是我們是三塊高階的
[39:36] 我們都能
[39:37] 尤其在另外兩塊
[39:39] 我想我們應該在業界裡面
[39:41] 我們會記憶比較所謂的一個
[39:45] 領先的地位
[39:47] 大概這樣子
[39:49] 好
[39:50] 謝謝東森的回答
[39:52] 下一個投資人提問是
[39:54] 想請問
[39:56] 未來如果走向CPO
[39:59] 是否會取代
[40:01] 可插拔光模板塊的需求呢
[40:06] 那請問貴斯如何看待
[40:08] 3.2T光模塊的發展路徑
[40:13] 可插拔的形式是否還會存在
[40:16] 或是會全部轉向NPO的方法
[40:19] 那公司對於CPU
[40:21] NPO的架構產品
[40:23] 的佈局大概包括哪一些呢
[40:27] 這個問題到目前為止
[40:29] 我想3.2T其實我們也在打樣子
[40:32] 那關於這兩塊
[40:33] 怎麼發展
[40:34] 這是業界在
[40:36] 我相信這兩個
[40:37] 我們都會
[40:38] 交易有的話我們都會介入
[40:40] 我只能這樣表達
[40:41] 有的話我們都會介入
[40:43] 好
[40:45] 謝謝董事長回答
[40:47] 那下一個投資人提問是
[40:50] 隨著AI factory
[40:52] 世代的來臨
[40:54] 極致的產業鏈
[40:56] 協同設計
[40:58] 系統整合
[41:00] 越發來的重要
[41:02] 想請教一下這個對於PGP行業
[41:04] 意味著什麼
[41:05] 那真理在這種背景之下
[41:07] 具備哪些領先的優勢呢
[41:10] 這部分我想
[41:15] 我們畢竟
[41:17] 我們也談到過就是說
[41:20] 過去的PGP有點單打獨
[41:22] 幫別人製造
[41:23] 但是未來的PGP其實
[41:25] 跟客服的連結算是很深
[41:27] 也就是說在
[41:29] 規劃的時候設計規劃系統整合
[41:31] 即使大家就要連結在一起
[41:33] 大家就要連結在一起
[41:35] 我想
[41:36] 曾鼎一直在做這件事情
[41:38] 我想我們跟主要客戶
[41:39] 自己很早就在做這件事情
[41:41] 所以我想
[41:42] 這些對我們來說
[41:43] 應該算是比較有經驗
[41:45] 比較有經驗來
[41:47] 做以後這一塊的整個的一個發展
[41:49] 我想這也是曾鼎的經驗
[41:51] 跟現在
[41:52] 來說各種產品我們都即備
[41:54] 然後跟
[41:55] 過去客戶的合奏
[41:57] 我想我們應該會比較
[41:59] 記憶
[42:00] 有優勢
[42:01] 好謝謝董事長回答
[42:04] 下一個投身提問是
[42:06] 整體上對於
[42:07] 2027年的AIPCB
[42:10] 目前訂單能見度大概如何
[42:13] 那我們擴廠是否都有很強的
[42:16] 訂單指引呢
[42:18] 這部分我想還是樂觀的
[42:20] 目前來說的話我們所看到的
[42:22] 產能產能廠還是不足
[42:24] 那另外就是
[42:26] 我們跟客戶當然幾乎都有
[42:29] 相關的一個綁定的一個
[42:31] 一個合作關係
[42:33] 好謝謝董事長回答
[42:37] 下一個投身提問是
[42:38] 想請問公司今年資本支出
[42:41] 800億元
[42:43] 其中65%都投入HDI硬板
[42:46] 否持夫妻
[42:48] 跟光模組
[42:50] 但如果2028年的CPO
[42:52] 滲透率增加為
[42:55] 增加並且取代
[42:57] 可插拔光模組
[42:59] 那這些生產光模組的廠房
[43:02] 可以轉做別的用途嗎
[43:04] 我想PCB大部分的設備
[43:10] 其實都是類統的
[43:12] 看你嘛高級設備還是
[43:15] 那自己說設備的轉換
[43:18] 我想應該只有可能230%
[43:20] 可能會有特殊性以外
[43:22] 其實大概都可以轉用
[43:24] 就像電鍍線
[43:25] 或者是這些裝空機也好
[43:28] 主要設備其實
[43:30] 20年來都沒什麼變
[43:32] 我想我們一定會因應
[43:36] 攤平的轉換
[43:37] 就像說這一次
[43:38] 這個類仔板
[43:40] M7也好
[43:41] 它本來是做
[43:42] 做主要客戶的主板
[43:44] 那現在主要光模塊來
[43:45] 我們也可以做
[43:46] 但是可能要加一些
[43:48] 光模塊特殊一些設備而已
[43:49] 但是畢竟少量的
[43:51] 謝謝董事長說明
[43:55] 下一個投資人提問是
[43:57] 想請教一下公司
[43:59] 非AI部分的收入佔比
[44:02] 那同時這些比較Lagging的產品
[44:05] 是否面臨在原料
[44:07] 價格上漲中
[44:09] 所帶來的利潤的壓力呢
[44:12] 一樣我想非AI部分的產品
[44:15] 其實我們現在跟AI產品
[44:17] 不管是
[44:18] 剛剛談到光模塊來
[44:20] AI server啦
[44:21] 或者是在法
[44:22] 跟AI都扯上關係
[44:24] 即使
[44:25] 我們的消費性電子產品
[44:27] 也是AI的產品
[44:29] 所以我們大部分
[44:30] 假如說從我們公司
[44:33] 整個今年來分析的話
[44:35] 我認為我們
[44:36] 跟AI扯上關係的
[44:37] 不管是消費性電子產品
[44:39] 或者是這些
[44:41] 這些所謂的
[44:42] 這些基礎建設的產品
[44:45] 應該有70%到80%
[44:47] 都是跟AI有關係的
[44:48] 那因為這個情況之下
[44:50] 現在當然價格
[44:51] 延誤了漲漲
[44:52] 但是我剛剛前面
[44:53] 我也特別談到
[44:54] 大部分都能夠轉嫁出去
[44:56] 對我們很相信
[45:00] 不是很大
[45:03] 好 謝謝董事長說明
[45:05] 下一個投資人提問是
[45:07] 想了解一下目前公司
[45:09] 在光模塊 良率的水準
[45:11] 大概是什麼樣情況
[45:14] 以我們現在1.6T的
[45:16] 光模塊的良率水準
[45:18] 應該算是業界最高的
[45:20] 應該算是業界最高的
[45:22] 包括我們泰國產業
[45:24] 其實剛開始做不久
[45:26] 我們都在90以上
[45:30] 那築案廠更高
[45:32] 好 謝謝董事長說明
[45:35] 下一個投資人提問
[45:37] 是想請教
[45:38] 針對公司預計所開出來的
[45:41] 新產能
[45:42] 有多少比例
[45:43] 已經有客戶承諾
[45:45] LTA
[45:46] 或者是明確的訂單支持
[45:48] 那公司如何控制
[45:50] 所謂的重複下單
[45:52] 或double booking
[45:53] 或超額預定的風險呢
[45:56] 這部分我剛前面也談到
[45:59] 其實未來這三年
[46:02] 我們的產能大概都跟客戶有
[46:04] 有這種產能的綁定
[46:07] 好 謝謝董事長說明
[46:11] 下一個投資人提問是
[46:13] 想請問Q2的費用
[46:17] 明顯提高
[46:18] 那請問對於今年下半年
[46:20] 以及明年都OPEX
[46:23] 有什麼樣的展望嗎
[46:25] 今年營業會用提高
[46:28] 最主要是在研發費用
[46:30] 我們今年研發費用
[46:31] 其實比去年上半年增加的
[46:33] 26.1億
[46:34] 那也就代表說
[46:35] 其實我們在處理商打樣也好
[46:37] 或者在新產品開發
[46:40] 剛剛特別談到
[46:41] 像我們這些工廠還沒蓋
[46:43] 但是我們已經在打樣
[46:45] 新產品開發的研發費用
[46:46] 花了特別多
[46:47] 所以我想今年
[46:48] 我們很特殊的一項就是
[46:50] 我們的研發費用比去年
[46:51] 增加26億
[46:52] 所以剛剛在
[46:53] 我們財務長在報告的時候
[46:54] 所以A許我們今年
[46:56] 今年在上半年的整個
[46:58] 這個最後經歷是57.4億
[47:01] 比去年成長一倍多
[47:02] 我們137%
[47:04] 但是假如我們今年
[47:05] 還有三大要素
[47:06] 一個是研發費用比去年增加26億
[47:08] 那折就費用應該繼續投資
[47:10] 增加了大概8.66億
[47:12] 還有一個匯兌損失
[47:14] 大概今年上半年
[47:15] 大概也差了9億
[47:16] 9.9億
[47:17] 然後再把這3個數字
[47:20] 加起來
[47:21] 到44億左右
[47:23] 說為什麼我們在那個
[47:25] 毛利力會增加到那麼高
[47:27] 我沿議在這個地方
[47:29] 是
[47:30] 謝謝董事長 詳細說明
[47:32] 那下一個投資人提問
[47:34] 是想請問
[47:35] 曾鼎在大陸 泰國 高雄
[47:39] 三個區域生產的產品有什麼區隔
[47:42] 另外 子公司彭鼎
[47:44] 日前公佈了深圳
[47:46] 園區規劃
[47:48] 那關注到建成的時間
[47:51] 大概為2033年
[47:53] 那是公司認定為
[47:55] AIPCB目前有一定的風險了嗎
[48:03] 我們從來沒有規劃到2033
[48:06] 你那個
[48:08] 那個是這樣子
[48:10] 我想跟各位說明一下
[48:12] 因為當時我們拿這塊地的時候
[48:14] 政府有一個條件
[48:16] 說你拿這塊地什麼時候必須要蓋完
[48:19] 那當然
[48:20] 他的政府公告是這樣
[48:21] 但是我們不可能這樣做
[48:23] 因為為什麼
[48:25] 政府拿一塊地的時候
[48:27] 他必須
[48:28] 你要承諾他什麼時候用完
[48:31] 那我們就根據他最長的前線打服他
[48:33] 實際上我們會更早就把它用完
[48:35] 都可能不到那麼多人才用完
[48:37] 我這樣
[48:39] 而且謝謝董事長說明
[48:41] 那下一個投資人提問是
[48:43] 想要了解CPO發展
[48:46] 以及對於PCB的方向及影響為何呢
[48:51] 我剛也特別談到我想不管CPO
[48:53] 然後的這個這個這個
[48:55] 這些也好我想我們都會更早
[48:57] 那自己這些都是客服的產品
[48:59] 我們也不
[49:00] 這是我也不便提到話
[49:01] 表示說
[49:02] 但是我相信
[49:04] 只要這些變化
[49:05] 我們也會隨著變化的
[49:06] 我想過去20年來這樣
[49:08] 我們一直朝這個方向在努力
[49:11] 好謝謝董事長
[49:13] 下一個投資人提問是
[49:14] 想請問公司目前
[49:16] 國防模組PCB的市佔率為何
[49:20] 那預計26 27年底
[49:24] 到底可以達到多少
[49:26] 謝謝
[49:27] 這個數字可能我這時候
[49:30] 不方便來保護這個問題
[49:32] 因為數字太敏感
[49:33] 但是我想我們的
[49:34] 我剛也特別談到
[49:36] 我們應該20年或20年
[49:37] 在整個的市佔率
[49:40] 我們應該會低
[49:41] 但這個時候
[49:42] 這個數字我就不方便
[49:43] 謝謝
[49:45] 好謝謝董事長說明
[49:47] 那另外投資人有提問
[49:49] 想請問公司會發展
[49:52] 低軌衛星相關的應用嗎
[49:55] 那有沒有什麼相關的規劃呢
[49:58] 我們這塊我們已經在發展
[50:00] 量還不是很大
[50:01] 我們已經在做了
[50:03] 好謝謝董事長說明
[50:08] 那下一個這個投資人提問是
[50:12] 想請問2Q26年
[50:14] IC載板的營收占比為何
[50:19] 營收占26年的
[50:23] 2Q的營收占比
[50:26] 2Q26
[50:27] 不是有嗎
[50:29] 因為因為這個時候
[50:31] 我們這個數字我想
[50:32] 跟IC產品
[50:33] IC產品有關係
[50:34] 我想的剛開始
[50:36] 我就提到我們今天這個話
[50:38] 說一步
[50:39] 跟各位做一個報導
[50:41] 因為今天是一件冒險
[50:44] 謝謝好謝謝董事長
[50:46] 那下一個投資人提問是
[50:49] 想請問新產能陸續上線後
[50:52] 短期折舊
[50:54] 良率爬坡
[50:56] 以及人力成本都會增加
[50:58] 那想請問這些成本壓力
[51:01] 最大的時間點
[51:03] 規制在哪一季
[51:05] 那預計何時高階產品放量
[51:09] 所帶來毛利益的增加
[51:12] 能夠超過所謂的新折舊
[51:15] 這個新增的折舊呢
[51:18] 我想剛剛在報告的時候
[51:20] 特別談到我們這幾年都在蓋廠
[51:22] 所以不是說這個廠蓋完以後
[51:24] 我就停下來
[51:25] 其實我們沒有停
[51:27] 所以呢不管短期折舊也好啦
[51:29] 然後的良率爬坡
[51:31] 每個廠都要經過一個合理的爬坡
[51:34] 我想這些
[51:35] 未來這五六年
[51:37] 未來這五年應該是每年
[51:38] 都會遇到這個情況
[51:40] 都會遇到這個情況
[51:41] 所以呢當然就是
[51:43] 等到開始量產廠
[51:45] 越來越多的時候
[51:46] 他就會couple到這些新的東西
[51:49] 為什麼剛剛可以看到
[51:51] 我們這兩年還在蓋廠
[51:53] 為什麼我們的毛利益
[51:56] 也爬得比起來好了
[51:57] 代表效效效業慢慢在顯現
[52:00] 因為假如我今天停滯下來
[52:05] 都不中的話
[52:06] 這個問題就很好打呼
[52:08] 但是現在對我來說
[52:09] 其實每年都記
[52:11] 每年廠都一起在couple
[52:12] 滾到三六年頭
[52:13] 到目前為止
[52:14] 我們的規劃是沒有停的
[52:16] 好謝謝董事長
[52:19] 下一個投資人提問是
[52:21] 想請教目前資本支出規劃
[52:23] 多少的占比投入這個光模塊
[52:27] 那多少的占比投入載板
[52:30] 另外光模塊產能
[52:32] 明年到明年底
[52:34] 相比於今年
[52:36] 大概預計是增加多少呢
[52:39] 這個數字我沒有去
[52:43] 從比例來說的話
[52:45] 大概我們應該30%投在光模塊
[52:48] 25%到30%投在光模塊
[52:52] 大概差不多35%到40%投在載板
[52:55] 大概是這樣子
[52:57] 這個光模塊年底
[53:01] 年底會比今年
[53:03] 就是到明年底
[53:05] 到今年底
[53:06] 那剛剛我在開頭講一些話
[53:08] 我們會倍速成長
[53:10] 會倍速成長
[53:15] 好謝謝董事長說明
[53:17] 下一個投資人提問是
[53:19] 路透社曾經發佈
[53:21] 美國的FCC計畫
[53:23] 禁止進口中國
[53:25] 光收發的這個模組
[53:27] 那目標是
[53:29] 2026年內禁止並且生效
[53:33] 範圍鎖定資料中心
[53:35] 內部的高速光圈
[53:37] 這個傳輸設備
[53:39] 特別是在800G
[53:41] 以及1.6T等支撐AI訓練
[53:45] 以及推理的主力規格
[53:47] 那請問曾鼎是否有受到影響呢
[53:49] 我想大家澄清一件事情就是說
[53:53] 光模它是禁止光模塊
[53:55] 它是光模塊裡面
[53:57] 其中的一個電路板
[53:59] 我不是光模
[54:00] 光模塊用的電路板
[54:02] 它裡面還有很多領土
[54:04] 我們可能在那邊
[54:06] 未必很高
[54:07] 它裡面可能還有IC這些東西
[54:09] 所以到目前為止
[54:11] 它是提到光模塊
[54:13] 並沒有提到光模塊裡面的電路板
[54:15] 那根據過往這幾年的經驗
[54:17] 就是電路板其實要移動
[54:19] 並不是那麼容易
[54:20] 因為電路板它的產業鏈很大
[54:22] 然後它的生態特別特殊
[54:24] 涉及到環保的問題
[54:26] 所以過劑幾年
[54:27] 可能大家都希望說
[54:29] 歐歐西也好
[54:30] 但實際上執行
[54:32] 並不是那麼容易的
[54:34] 遺傳並不是那麼容易
[54:36] 所以我想
[54:37] 當然假如客戶真的有必要
[54:39] 我們也會配合
[54:40] 所以為什麼我們有泰國廠
[54:42] 也是應用客戶的需求
[54:44] 假如不是客戶的必要需求的時候
[54:49] 我想在大陸的生產效力
[54:51] 還是最好的
[54:53] 謝謝總裁說明
[54:56] 下一個頭針的提問是
[54:57] 想請問光模塊的技術
[55:01] 進入門檻大概在哪裡
[55:03] 競爭對手除了台戲及路系之外
[55:06] 那還沒有其他區域的對手呢
[55:09] 光模塊就是它的列展版的技術
[55:13] 就M7的技術
[55:15] 當然光模塊從早期的
[55:17] 200G 400G 800G 到現在1.6T
[55:19] 甚至最早的10G 20G都有
[55:22] 也許在200G以下
[55:24] 可能用High-Level
[55:25] 到400G你可能要用
[55:26] 要用年齡6
[55:28] 到800G可能用M7
[55:30] 到1.6T你就會用
[55:32] M7不可
[55:34] 那現在我剛剛特別談到
[55:35] 有M7高階M7
[55:37] 真的有技術能力
[55:38] 其實並不多
[55:40] 當然大家都想說它做光模塊
[55:42] 所以大家先把光模塊
[55:43] 到底做哪一個光模塊
[55:44] 光模塊很多
[55:45] 從10G 20G 40G 80G
[55:48] 一直到200G 400G 800G 1.6T
[55:51] 甚至未來3.2T
[55:53] 但每一個光模塊
[55:57] 它用的電路版的技術
[55:59] 是不一樣的
[56:01] 現在到
[56:03] 可能以前在做10G 20G
[56:04] 可能我們也不關注這個
[56:06] 因為那不是我的time
[56:07] 但是現在做到高階
[56:08] 我想曾領機長一直在發展
[56:10] 高階的產品高階的技術
[56:13] 到1.6T我們大爆發
[56:15] 也就是因為當年
[56:17] 我們有類在版的技術
[56:19] 而且這個技術
[56:20] 也是領先的
[56:21] 所以我們才能夠快速
[56:24] 能夠這個接軌這一塊
[56:28] 把它做得更好
[56:30] 好 接著頭長說明
[56:32] 由於時間而言
[56:33] 我們現在在問
[56:35] 最後一個線上投資人提問
[56:37] 想請問未來公司
[56:39] 再度規劃擴廠
[56:41] 有機會計畫在台灣
[56:43] 再度增加生產基地嗎
[56:46] 我們會評估
[56:48] 因為還是根據客戶的吸取
[56:50] 還有我們的經營效率來做決定
[56:53] 我想台灣畢竟還是
[56:55] 土生土長
[56:56] 所以有機會的話
[56:57] 我們都不會放棄
[57:00] 但是做企業
[57:02] 畢竟還是在考慮到
[57:04] 它的生產要素
[57:06] 比方講說
[57:07] 很多華林規定政府的效力
[57:10] 還有基礎建設
[57:11] 夠不夠完整性
[57:13] 還有產業鏈不夠不夠完整
[57:15] 人才夠不夠優秀跟創意
[57:17] 我想這都是我們考慮的因素
[57:19] 假如有機會的話
[57:20] 我們也會有限考慮到台灣設廠
[57:23] 好 謝謝董事長完整的說明
[57:26] 也謝謝各位投資先進
[57:27] 踴躍的提問
[57:28] 由於時間的緣故
[57:30] 今天的法律會就到此結束
[57:32] 謝謝線上各位投資先進的參與
[57:35] 如果還有其他的問題
[57:37] 歡迎聯絡
[57:38] 真頂科技控投資人關係窗口
[57:41] 謝謝大家
