SOURCE: 法說會 audio transcribed locally with faster-whisper (small) -- https://irconference.twse.com.tw/4938_131_20260812_ch.mp4
VIDEO TITLE: replay
CALL DATE: 08-12-2026
QUARTER: Q2 FY2026
# source label: Pegatron Q2 FY2026 (08-12-2026)
# note: verbatim Chinese speech-to-text, no speaker labels; treat numbers with care and
#       cross-check against the MOPS deck when a figure looks off
# segments: 1294   characters: 12,264

---
[00:10] 各位投資先進午安,歡迎參加合說聯合科技股份有限公司
[33:00] 那往後如果我們這個Serva Business
[33:03] 然後有非常多的project在
[33:05] 在走那市場恐怖化的狀況下
[33:09] 我們該怎麼去看R&D
[33:11] 或是整個我們集團Opax的金額
[33:14] 絕對金額接下來的一個趨勢都是
[33:17] 那最後一個問題是想
[33:19] 詢問一下這個Opax的部分
[33:22] 那所以Kapass的部分
[33:24] 剛剛確定我們的loading
[33:27] 我們今年或是說
[33:29] 今年年的這個資本支出
[33:31] 預計的金額的規劃
[33:32] 大概會是什麼樣 謝謝
[33:34] 我先回答那個
[33:37] 就是剛剛我激動講出來
[33:40] 那個Opax
[33:41] 我剛剛在提醒的意思是說
[33:44] 在未來
[33:45] 也許我們希望未來的
[33:47] 未來的一兩年之內一定會發生
[33:50] 就是因為這個Serva的單價太高了
[33:53] 它很容易就變成是一個
[33:56] Top 3 BU在Pegasol
[33:58] 我先correct一下
[33:59] 也許我剛剛講的太快
[34:02] 那就是基本上
[34:03] 因為它論證很大
[34:05] 所以它很容易就變成
[34:06] Top 3的Binus Unim
[34:08] 這第一個回答
[34:10] 那第二個回答
[34:11] 阿滴你最清楚
[34:13] 我想這個資源就是剛剛有提到
[34:18] 這個資源其實不只是
[34:21] 這些工廠或facility
[34:25] 這些資源的擴充
[34:28] 因為其實這個還包含
[34:29] 這些軟實力
[34:32] 就是各層次的
[34:35] Engineering的resource
[34:37] 還有這些實驗室的建置
[34:41] 這個其實都持續在進行
[34:43] 所以在這一部分就是說
[34:47] 在我們關注這一邊的資源
[34:51] 也一直在做調整
[34:55] 這些辦公室的區域
[34:59] 還有人員的調動
[35:02] 我想這幾個月
[35:05] 真的也是滿精彩的
[35:08] 所以這個都是必須的
[35:10] 剛剛Johnson也講
[35:12] 這個Top 3
[35:14] 我們如果看我們的競爭對手
[35:17] 其實他們可能都變Top 1
[35:19] 對不對
[35:20] 那我們當然也是要看齊
[35:22] 對不對
[35:23] 這個很好的10
[35:27] 我們也應該要看齊
[35:29] 站到更大的一杯
[35:31] 所以這個也是我們的目標
[35:34] 好 我來講一下KPEX
[35:36] 我想去年我們的KPEX
[35:38] 原來季孤3.5個billion
[35:41] 那billion
[35:43] 3.5億
[35:45] 3.5億
[35:47] 3.5億美金
[35:49] 事實上我們實際上花了大概
[35:51] 4.多個億
[35:54] 對不對 美金
[35:55] 那今年本來是3億到3.5億
[35:58] 那因為我們現在也有一些東西
[36:00] 所以我們經過董事會過了以後
[36:02] 我們會再跟各位先進報告
[36:06] 那基本上應該還是會增加
[36:08] 但是多少可能
[36:11] 可能真的是非常生意的
[36:12] grow的程度
[36:16] 好 謝謝
[36:18] 稍微再follow up兩個問題
[36:20] 第一個是關於那個KPEX部分
[36:24] 這部分如果是之後要破產的話
[36:27] 我們主要focus地方會是在
[36:30] 就是北美為主
[36:32] 還是說像剛剛提到說這個
[36:34] 東南亞這邊我們會
[36:36] 是leveraged既有的一個foo-print
[36:38] 還是會有一個新的廠區
[36:40] 那一個新的地區在東南亞這邊
[36:42] 我們該怎麼樣去往哪個方向去
[36:45] 去看你們的這個破產規劃
[36:47] 那另外一個就提到剛剛SIREN
[36:49] 我相信如果是以今年這個
[36:52] 很好的狀況的話
[36:53] 因為可能今年就達成
[36:55] 就是管理層這邊提到的一個目標
[36:58] 還有信息
[37:00] 但我有一個問題想問這個
[37:01] server margin的部分
[37:02] 因為我們現在
[37:04] 集團已經來到1.5%的
[37:06] 這個OP margin
[37:07] 那blows margin來到4.4%
[37:10] 那我們該怎麼看說
[37:11] 接下來server的margin trend
[37:14] 是能夠持續對我們的
[37:16] 集團的margin能夠提升的效果呢
[37:18] 還是在將來可能下半年
[37:21] 達到一個時間點
[37:22] 就會開始看到因為
[37:23] 零組件占比持續上升
[37:26] 那以及下一代GPU更貴
[37:28] 那可能margin會開始見到
[37:29] 一些逮捞的一個趨勢
[37:31] 那幫我們分析一下這個之後
[37:34] blows margin跟OP margin的一個trend
[37:36] 謝謝
[37:37] 好我回答KPEG比較簡單
[37:40] 難得給Gary
[37:42] KPEG這邊我想主要還是會
[37:44] 根據生意的走向
[37:47] 那理論上應該還是台灣跟北美
[37:50] 為主
[37:50] 但是也不排除在東南亞
[37:53] 因為就剛剛講有些防範能
[37:55] 會在那邊生產一些機器
[37:58] 或一般廠房的投資
[38:00] 大概是這樣
[38:01] 所以那個會飛上生意的情況
[38:04] 去做機動的調整
[38:06] 對我想那個
[38:07] 因為我們過去在東南亞的
[38:11] 這些廠房的建制
[38:13] 其實在今年其實都到位了
[38:15] 所以在東南亞的問題其實不大
[38:18] 那台灣跟北美是
[38:23] 就是說在這些廠房或設備的投資
[38:26] 應該是會看到比較多
[38:28] 不過這個我們也在去年
[38:31] 今年年初
[38:33] 其實大概都有計畫好了
[38:36] 所以這個應該不是太大的問題
[38:40] 這個問題其實就是
[38:41] 也不是問題
[38:42] 就是說這個運作上面應該說
[38:45] 怎麼樣配置
[38:46] PCBA應該在哪邊level 10
[38:48] level 11
[38:50] 應該做怎麼樣的調配
[38:51] 那怎麼樣搭配客人的需求
[38:55] 其實這個才是比較重要
[38:57] 那我們墨西哥從2019到現在
[39:00] 只是培養的人
[39:02] 還有準備的廠房
[39:03] 還有我們從去年在美國的廠房
[39:07] 其實也都是ready
[39:08] 那擴充性也都有
[39:10] 這個其實我覺得問題不是這麼大
[39:15] 那至於這個伺服器的生意模式
[39:20] 或規模
[39:20] 我想我們是新進者
[39:23] 這個線上的先進
[39:26] 也可以看到我們前面排在
[39:30] 我們前面的幾個友商
[39:34] 那個都是我們一個非常好的借鏡
[39:37] 包含他們營業而在
[39:39] 他們公司的占比
[39:40] 包含他們的毛利
[39:42] 或他們的運作模式
[39:44] 這個都是我們非常好的學習的對象
[39:48] 也是我們的目標
[39:49] 那我們就是要精進自己
[39:53] 把這個效率提升
[39:55] 往他們這個地方看能不能不只看齊
[40:00] 那我們對我們自己的要求
[40:02] 當然也是希望
[40:03] 可以並假取取之外
[40:06] 還可以這個這個這個趕上他們
[40:11] 這個是我們的目標
[40:13] 謝謝
[40:22] 謝謝
[40:23] 那接下來令下一個線上提問
[40:25] 來至於Retra
[40:26] Retra請您提問謝謝
[40:28] 執行長幾位主管你們好
[40:32] 我想請問一下在傳統的server ODN
[40:36] 我們會有的人是比較偏向做品牌
[40:39] 例如dale HP的生意
[40:41] 有的人是比較習慣做那個
[40:44] CSP cloud或者說
[40:46] ODN direct的生意
[40:48] 那在AI時代
[40:50] 又有點重複了
[40:52] 因為像dale這種品牌
[40:54] 以前是賣企業的
[40:55] 他也去做了hyperscalar的生意
[40:58] 所以我想請問一下在AI的這個server的時代
[41:02] 這個產業的結構是要怎麼定義
[41:05] 然後我們公司是比較偏向做品牌
[41:08] 還是做ODN director
[41:11] 還是像華碩這種就是dale這種
[41:15] 他們也可以透過這些品牌去做
[41:18] 做那個Neocloud這些CSP的生意
[41:21] 能不能請您說明一下我們的定位
[41:23] 謝謝
[41:25] 我想這個合作
[41:27] 在第一天成立的時候
[41:29] 我們就是
[41:31] 不是品牌的這個公司
[41:34] 那在非品牌
[41:36] 這個公司的生意模式其實有很多
[41:39] 只要是好的生意
[41:40] 我們絕對不排斥
[41:42] 那至於在server的這個部分
[41:45] 以合作的這個量體來看
[41:48] CSP絕對是我們的目標
[41:51] 這個是無庸置疑的
[41:53] 那至於在CSP之外的
[41:57] 這一些好的生意
[41:59] 我想只要是不抵觸
[42:02] 那也可以守住公司應該
[42:06] 能獲得的利潤
[42:09] 這個我們都不排斥
[42:10] 那當然這個也要看客人
[42:14] 能不能認同我們的能力
[42:17] 跟提供的服務
[42:20] 那這個也不是說
[42:23] 是相情願嘛對不對
[42:25] 所以只要這個生意
[42:27] 是好的生意
[42:29] 然後生意彼此
[42:30] 不抵觸
[42:32] 我想這個都是我們的目標
[42:37] 謝謝
[42:39] 那我想在開放下一位問題
[42:43] 我想有一個問題想請教
[42:46] 然後像也不要再就伺服器這邊
[42:49] 我想就是大部分
[42:51] 我想了解就是像PC領主鍵
[42:54] 這些我們講的第三季這個空訊產品
[42:58] 然後是不是說可以讓我們了解
[43:00] 是說PC領主鍵非常的刺激
[43:02] 然後再來就是說第三季這個星期
[43:05] 拉貨毛利跟產品的怎麼鑄平呢
[43:08] 因為昨天有一些像數十維新
[43:11] 也都講要說他下半天
[43:13] 可能會受到這個領主鍵
[43:15] 想對於其他
[43:17] 我不知道公司是不是有同樣狀況
[43:19] 然後在這個星期
[43:21] 就是拉貨下什麼公司
[43:23] 這個毛利跟產品的組合這麼平衡
[43:26] 所以講到PC這個下半年
[43:31] 是真的比較Charge
[43:33] 我想因為上半年其實比原來
[43:37] 孤孤的好很多了解
[43:39] 所以下半年
[43:41] 大家用上半年的方法
[43:43] 是怕下半年的
[43:45] 裡面有沒有問題
[43:46] 所以基本上比較沒錯
[43:50] 但是基本上從
[43:52] 從個角度來講
[43:53] 其實在PC上面
[43:55] 其實T-Parts
[43:57] 其實大部分用不上Brain
[43:59] 所以大部分客人都已經
[44:01] secure了下半年的量
[44:04] 至少T-components
[44:05] CPU, memory, SSD
[44:07] 這個大家就secure了
[44:08] 那我們看到的是Ribbonin Y
[44:10] 實際上是沒有很糟糕
[44:12] 那Fonti Y是比較
[44:15] 真的是有下來
[44:16] 大概各位數的爬數下來
[44:19] 但是Ribbonin是還好
[44:22] 這是可以看到的
[44:23] 但是OboO
[44:25] 因為我們是Narco-Brain
[44:28] 所以我們這一部分的PCB或什麼
[44:31] 其實你有沒有看到很多客人
[44:33] 其實現在就開始
[44:35] 應該說之前就開始在買一些東西
[44:38] 當庫存佛下半年
[44:40] 所以看起來是還好
[44:42] 至於說Fonti Y的新機的效果
[44:45] 其實效應其實
[44:47] 因為它有一些改變節奏
[44:50] 它的ProVirgin
[44:52] 那個9月會出來
[44:54] 至於是Narco-Pro
[44:56] 就是一般Delta Virgin
[44:57] 是Minion Q1會出來
[44:59] 所以這個tempo會怎麼變化
[45:00] 其實我們當然有Focus
[45:02] 再看
[45:03] 但是我們還是會跟客人
[45:05] Focus closely看它的tempo怎麼做
[45:08] 因為memory對它來看
[45:11] 也是一個蠻差的事情
[45:13] SOS
[45:14] 也就是我們講SOS
[45:15] 它也會Break
[45:17] 就是ProCereal跟一般Delta
[45:19] 會做一些Judgment
[45:20] 了解
[45:22] 這個的確是我們從
[45:24] 了解到上有排氣電來
[45:25] 是要講等這個memory才能做Package
[45:28] 所以可能會有一些影響
[45:30] 對
[45:31] 所以這個是大
[45:32] 整體大關的重關環境
[45:35] 其實是一個吸走的資源
[45:38] 這就是最後的結論
[45:39] 但是因為Consumers 20G塊
[45:42] 它不會跑走
[45:43] 它只是時間怎麼去Pickup而已
[45:47] 在開放問題之前
[45:49] 我還是有個問題
[45:50] 就是說
[45:51] 我知道你們有跟系統電在合作
[45:54] 聯手打造每次BPU的供應鏈
[45:58] 就想知道說這個重
[46:00] 因為我認為這是一個非常重要
[46:01] 就是表示你們相對於其他的
[46:05] Odian廠也可以提供一暫時的輔助
[46:08] 我想行銷執行長的公司
[46:10] 為什麼這個想法
[46:11] 現在的中效跟進度是分別的
[46:14] 我想能夠跟系統電這一邊
[46:17] 其實有大概三個層面的合作
[46:22] 一個其實系統電本身在
[46:25] 這個PortoMote這邊
[46:29] 他們其實有琢磨
[46:30] 而且我們跟它重疊的客人
[46:34] 是蠻多的
[46:36] 不過因為產品並沒有重疊
[46:39] 所以這個是可以做一個比較好的
[46:43] 打群架的效益
[46:46] 這個不只北美的客人
[46:48] 連歐洲的客人幾乎都是重疊
[46:51] 可是因為大家進程不一致
[46:54] 反而是可以互相扶持
[46:58] 那另外一個是BPU的部分
[47:00] 我們也看到在這一塊
[47:03] 有系統電已經取得到一些成績
[47:09] 雖然系統電它可能還是要跟
[47:13] 台灣的一些公司做合作
[47:17] 或者是做間接的
[47:20] 中端客人的生意
[47:21] 不過在這一塊
[47:23] 我們也希望就是說
[47:25] 到時候是不是可以有一戰士的
[47:29] 這個生意模式
[47:31] 搭配這個系統電的BPU
[47:34] 可以直接對中端客人做一個服務
[47:38] 那第三個我想
[47:40] 因為系統電在北美
[47:42] 也有投資這個生產基地
[47:45] 這一個部分也剛好是跟我們在
[47:50] 德州 北美的
[47:52] 甚至墨西哥的生產基地是可以相輔相成
[47:57] 可以做一個大家在資源共享
[48:02] 空間共同運用的一個策略
[48:06] 所以大概大概是在這三個方面
[48:10] 我覺得這個是非常好
[48:11] 因為比較其他的Odm
[48:13] 的確是沒有這樣講
[48:15] 那艾比現在線上還沒有發問
[48:17] 我們開放給線上的投資發問
[48:20] 請問安卓老師您還有進一步問題想提出嗎
[48:29] 我這邊暫時沒有 謝謝
[48:31] 好 謝謝
[48:32] 那請問Richard您這邊是
[48:36] 還有進一步的問題
[48:37] 想跟管理層溝通嗎
[48:39] 沒有 謝謝
[48:41] 好 謝謝
[48:43] 如果現在線上沒有什麼問題
[48:46] 我們是不是今天
[48:47] 把這個變大在之前
[48:50] 我是不是請兩位警長
[48:52] 這個Rena分享
[48:54] 好 我是主持人
[48:56] 那我們整體來看
[48:58] 雖然今年上半年外部環境
[49:00] 等等存在一些不確定因素
[49:02] 包括中端需求零組件供應
[49:05] 及價格波動等挑戰
[49:07] 但我們看到這產品線
[49:09] 都有新的發展機會
[49:11] 資訊產品除了既有的
[49:13] no book desktop業務外
[49:15] 我們在AI制服器
[49:17] 佈局以球件進入
[49:19] 成果收穫期
[49:21] 其他如消費性電子產品
[49:24] 通訊 車用產品
[49:26] 我們會持續擋握新品
[49:28] 新客戶及AI應用所帶來的機會
[49:32] 同時將資源投入
[49:34] 具長期成長潛力的領域
[49:36] 也持續強化營運效率
[49:39] 及獲利能力
[49:42] 對 這個首先我還是要先感謝我們
[49:46] 在伺服器這個團隊
[49:48] 這個過去四年
[49:52] 這個要迎頭趕上
[49:54] 這個第一線的友商
[49:57] 確實是滿辛苦的
[49:59] 那也很高興在今年
[50:03] 有看到一個比較明顯的
[50:05] 這個大家可以認同的
[50:08] 這個成績
[50:10] 不過這個都只是第一步
[50:13] 接下來不管是
[50:15] 這個軟性研發的這一種
[50:19] 資源之外
[50:21] 持續在成長
[50:24] 其實這個整個北美
[50:27] 還有台灣的這些硬體
[50:31] 設施 設備 空間
[50:34] 其實就像我剛剛講的
[50:36] 我們已經在為明年
[50:39] 來做準備了
[50:41] 那在客戶的部分
[50:43] 以我們公司內部的
[50:45] 組織的調整
[50:46] 這個把這個
[50:48] 這個證帳呢
[50:50] 佈許好
[50:51] 然後一起前進
[50:54] 在不同的
[50:55] 這個不管是 hyperscale
[50:57] Neoclub
[50:58] 或者是比較企業型的
[51:02] 這一個部分
[51:03] 一直從這個
[51:05] solution provider
[51:06] Odm一直到level 11
[51:09] 或甚至我們
[51:11] 也準備能提供一些level 12的
[51:14] 一些設計服務
[51:15] 那在這個布局上面
[51:19] 從內部
[51:22] 客戶以及製造的服務
[51:24] 能連成一線
[51:26] 成一個面
[51:27] 能為公司創造更多的
[51:31] 必須
[51:31] 謝謝大家
[51:33] 謝謝執行長
[51:34] 謝謝蔡副長
[51:35] 那埃比我們這次的法說會就結束
[51:38] 謝謝
[51:42] 謝謝大家
[51:44] 謝謝
